inventory_id,factory_id,component_id,quantity_on_hand,reserved_quantity,safety_stock,available_quantity,usable_quantity,snapshot_date,unit_cost_usd
FI000001,F001,C001,96,4,8,92,84,2027-01-01,1.00
FI000002,F001,C002,24,4,4,20,16,2027-01-01,1.45
FI000003,F001,C003,50,0,4,50,46,2027-01-01,1.90
FI000004,F001,C004,52,0,8,52,44,2027-01-01,2.35
FI000005,F001,C005,36,4,4,32,28,2027-01-01,2.80
FI000006,F001,C006,148,0,8,148,140,2027-01-01,3.25
FI000007,F001,C007,76,8,8,68,60,2027-01-01,3.70
FI000008,F001,C008,50,4,4,46,42,2027-01-01,4.15
FI000009,F001,C009,136,0,8,136,128,2027-01-01,4.60
FI000010,F001,C010,0,0,0,0,0,2027-01-01,5.05
FI000011,F001,C012,136,8,8,128,120,2027-01-01,5.95
FI000012,F001,C013,100,8,8,92,84,2027-01-01,6.40
FI000013,F001,C014,148,8,8,140,132,2027-01-01,6.85
FI000014,F001,C015,52,2,4,50,46,2027-01-01,7.30
FI000015,F001,C016,48,4,8,44,36,2027-01-01,7.75
FI000016,F001,C017,52,4,8,48,40,2027-01-01,8.20
FI000017,F001,C018,60,0,8,60,52,2027-01-01,8.65
FI000018,F001,C019,78,0,4,78,74,2027-01-01,9.10
FI000019,F001,C020,0,0,0,0,0,2027-01-01,9.55
FI000020,F001,C021,62,2,4,60,56,2027-01-01,10.00
FI000021,F001,C022,108,4,8,104,96,2027-01-01,10.45
FI000022,F001,C023,26,0,4,26,22,2027-01-01,10.90
FI000023,F001,C024,56,8,8,48,40,2027-01-01,11.35
FI000024,F001,C027,136,4,8,132,124,2027-01-01,12.70
FI000025,F001,C028,36,0,4,36,32,2027-01-01,13.15
FI000026,F001,C029,132,4,8,128,120,2027-01-01,13.60
FI000027,F001,C030,152,8,8,144,136,2027-01-01,14.05
FI000028,F001,C033,132,4,8,128,120,2027-01-01,15.40
FI000029,F001,C034,64,2,4,62,58,2027-01-01,15.85
FI000030,F001,C035,12,1,2,11,9,2027-01-01,16.30
FI000031,F001,C037,60,4,4,56,52,2027-01-01,17.20
FI000032,F001,C038,26,2,2,24,22,2027-01-01,17.65
FI000033,F001,C044,33,0,2,33,31,2027-01-01,20.35
FI000034,F001,C045,50,0,4,50,46,2027-01-01,20.80
FI000035,F001,C046,46,4,4,42,38,2027-01-01,21.25
FI000036,F001,C047,21,2,2,19,17,2027-01-01,21.70
FI000037,F001,C049,160,4,8,156,148,2027-01-01,22.60
FI000038,F001,C052,108,4,8,104,96,2027-01-01,1.45
FI000039,F001,C053,34,2,4,32,28,2027-01-01,1.90
FI000040,F001,C056,140,0,8,140,132,2027-01-01,3.25
FI000041,F001,C059,17,0,2,17,15,2027-01-01,4.60
FI000042,F001,C063,152,4,8,148,140,2027-01-01,6.40
FI000043,F001,C064,58,0,4,58,54,2027-01-01,6.85
FI000044,F001,C066,52,4,4,48,44,2027-01-01,7.75
FI000045,F001,C068,74,2,4,72,68,2027-01-01,8.65
FI000046,F001,C071,23,2,2,21,19,2027-01-01,10.00
FI000047,F001,C073,128,4,8,124,116,2027-01-01,10.90
FI000048,F001,C076,50,0,4,50,46,2027-01-01,12.25
FI000049,F001,C079,108,4,8,104,96,2027-01-01,13.60
FI000050,F001,C080,14,0,2,14,12,2027-01-01,14.05
FI000051,F001,C081,38,2,4,36,32,2027-01-01,14.50
FI000052,F001,C082,37,1,2,36,34,2027-01-01,14.95
FI000053,F001,C084,26,0,2,26,24,2027-01-01,15.85
FI000054,F001,C087,104,0,8,104,96,2027-01-01,17.20
FI000055,F001,C089,70,0,4,70,66,2027-01-01,18.10
FI000056,F001,C091,28,4,4,24,20,2027-01-01,19.00
FI000057,F001,C092,56,2,4,54,50,2027-01-01,19.45
FI000058,F001,C094,78,2,4,76,72,2027-01-01,20.35
FI000059,F001,C096,34,0,2,34,32,2027-01-01,21.25
FI000060,F001,C097,40,1,2,39,37,2027-01-01,21.70
FI000061,F001,C098,80,0,4,80,76,2027-01-01,22.15
FI000062,F001,C099,0,0,0,0,0,2027-01-01,22.60
FI000063,F001,C101,37,1,2,36,34,2027-01-01,1.00
FI000064,F001,C104,46,4,4,42,38,2027-01-01,2.35
FI000065,F001,C105,52,4,8,48,40,2027-01-01,2.80
FI000066,F001,C107,24,2,4,22,18,2027-01-01,3.70
FI000067,F001,C111,66,4,4,62,58,2027-01-01,5.50
FI000068,F001,C112,72,4,4,68,64,2027-01-01,5.95
FI000069,F001,C117,29,0,2,29,27,2027-01-01,8.20
FI000070,F001,C120,62,2,4,60,56,2027-01-01,9.55
FI000071,F001,C122,52,2,4,50,46,2027-01-01,10.45
FI000072,F001,C123,42,2,4,40,36,2027-01-01,10.90
FI000073,F001,C125,40,1,2,39,37,2027-01-01,11.80
FI000074,F001,C127,38,2,4,36,32,2027-01-01,12.70
FI000075,F001,C130,32,1,2,31,29,2027-01-01,14.05
FI000076,F001,C132,36,2,4,34,30,2027-01-01,14.95
FI000077,F001,C136,108,8,8,100,92,2027-01-01,16.75
FI000078,F001,C138,19,2,2,17,15,2027-01-01,17.65
FI000079,F001,C139,40,1,2,39,37,2027-01-01,18.10
FI000080,F001,C140,68,4,8,64,56,2027-01-01,18.55
FI000081,F001,C141,32,1,2,31,29,2027-01-01,19.00
FI000082,F001,C143,29,0,2,29,27,2027-01-01,19.90
FI000083,F001,C144,15,1,2,14,12,2027-01-01,20.35
FI000084,F001,C157,96,4,8,92,84,2027-01-01,3.70
FI000085,F001,C162,48,2,4,46,42,2027-01-01,5.95
FI000086,F001,C168,78,0,4,78,74,2027-01-01,8.65
FI000087,F001,C169,76,0,8,76,68,2027-01-01,9.10
FI000088,F001,C170,54,0,4,54,50,2027-01-01,9.55
FI000089,F001,C174,112,8,8,104,96,2027-01-01,11.35
FI000090,F001,C175,39,2,2,37,35,2027-01-01,11.80
FI000091,F001,C178,56,4,8,52,44,2027-01-01,13.15
FI000092,F001,C179,62,0,4,62,58,2027-01-01,13.60
FI000093,F001,C180,27,2,2,25,23,2027-01-01,14.05
FI000094,F001,C184,66,4,4,62,58,2027-01-01,15.85
FI000095,F001,C187,12,0,2,12,10,2027-01-01,17.20
FI000096,F001,C188,38,2,4,36,32,2027-01-01,17.65
FI000097,F001,C193,23,2,2,21,19,2027-01-01,19.90
FI000098,F001,C194,26,0,2,26,24,2027-01-01,20.35
FI000099,F001,C195,132,8,8,124,116,2027-01-01,20.80
FI000100,F001,C199,26,0,4,26,22,2027-01-01,22.60
FI000101,F001,C201,156,8,8,148,140,2027-01-01,1.00
FI000102,F001,C202,58,0,4,58,54,2027-01-01,1.45
FI000103,F001,C203,24,0,4,24,20,2027-01-01,1.90
FI000104,F001,C207,20,0,2,20,18,2027-01-01,3.70
FI000105,F001,C208,29,1,2,28,26,2027-01-01,4.15
FI000106,F001,C209,32,4,4,28,24,2027-01-01,4.60
FI000107,F001,C210,37,0,2,37,35,2027-01-01,5.05
FI000108,F001,C213,160,8,8,152,144,2027-01-01,6.40
FI000109,F001,C214,34,2,4,32,28,2027-01-01,6.85
FI000110,F001,C216,30,4,4,26,22,2027-01-01,7.75
FI000111,F001,C219,72,2,4,70,66,2027-01-01,9.10
FI000112,F001,C221,44,4,4,40,36,2027-01-01,10.00
FI000113,F001,C222,24,2,2,22,20,2027-01-01,10.45
FI000114,F001,C224,56,4,8,52,44,2027-01-01,11.35
FI000115,F001,C225,28,4,4,24,20,2027-01-01,11.80
FI000116,F001,C228,62,4,4,58,54,2027-01-01,13.15
FI000117,F001,C229,56,8,8,48,40,2027-01-01,13.60
FI000118,F001,C230,39,0,2,39,37,2027-01-01,14.05
FI000119,F001,C231,46,0,4,46,42,2027-01-01,14.50
FI000120,F001,C232,23,2,2,21,19,2027-01-01,14.95
FI000121,F001,C233,26,4,4,22,18,2027-01-01,15.40
FI000122,F001,C234,23,2,2,21,19,2027-01-01,15.85
FI000123,F001,C236,18,0,2,18,16,2027-01-01,16.75
FI000124,F001,C238,152,4,8,148,140,2027-01-01,17.65
FI000125,F001,C240,12,0,2,12,10,2027-01-01,18.55
FI000126,F001,C241,38,1,2,37,35,2027-01-01,19.00
FI000127,F001,C242,92,4,8,88,80,2027-01-01,19.45
FI000128,F001,C244,38,0,2,38,36,2027-01-01,20.35
FI000129,F001,C245,72,8,8,64,56,2027-01-01,20.80
FI000130,F001,C247,34,2,2,32,30,2027-01-01,21.70
FI000131,F001,C251,36,2,2,34,32,2027-01-01,1.00
FI000132,F001,C253,12,1,2,11,9,2027-01-01,1.90
FI000133,F001,C254,66,4,4,62,58,2027-01-01,2.35
FI000134,F001,C256,70,4,4,66,62,2027-01-01,3.25
FI000135,F001,C261,16,1,2,15,13,2027-01-01,5.50
FI000136,F001,C263,152,0,8,152,144,2027-01-01,6.40
FI000137,F001,C265,18,0,2,18,16,2027-01-01,7.30
FI000138,F001,C267,12,1,2,11,9,2027-01-01,8.20
FI000139,F001,C268,156,8,8,148,140,2027-01-01,8.65
FI000140,F001,C269,78,2,4,76,72,2027-01-01,9.10
FI000141,F001,C270,20,2,2,18,16,2027-01-01,9.55
FI000142,F001,C272,31,1,2,30,28,2027-01-01,10.45
FI000143,F001,C274,0,0,0,0,0,2027-01-01,11.35
FI000144,F001,C277,29,1,2,28,26,2027-01-01,12.70
FI000145,F001,C279,30,4,4,26,22,2027-01-01,13.60
FI000146,F001,C283,30,4,4,26,22,2027-01-01,15.40
FI000147,F001,C285,23,0,2,23,21,2027-01-01,16.30
FI000148,F001,C286,35,2,2,33,31,2027-01-01,16.75
FI000149,F001,C289,29,1,2,28,26,2027-01-01,18.10
FI000150,F001,C299,14,1,2,13,11,2027-01-01,22.60
FI000151,F001,C301,38,4,4,34,30,2027-01-01,1.00
FI000152,F001,C306,30,1,2,29,27,2027-01-01,3.25
FI000153,F001,C312,26,2,2,24,22,2027-01-01,5.95
FI000154,F001,C314,156,0,8,156,148,2027-01-01,6.85
FI000155,F001,C315,62,2,4,60,56,2027-01-01,7.30
FI000156,F001,C320,70,2,4,68,64,2027-01-01,9.55
FI000157,F001,C322,24,2,4,22,18,2027-01-01,10.45
FI000158,F001,C326,13,0,2,13,11,2027-01-01,12.25
FI000159,F001,C330,108,8,8,100,92,2027-01-01,14.05
FI000160,F001,C331,30,0,4,30,26,2027-01-01,14.50
FI000161,F001,C333,18,2,2,16,14,2027-01-01,15.40
FI000162,F001,C334,52,8,8,44,36,2027-01-01,15.85
FI000163,F001,C337,34,1,2,33,31,2027-01-01,17.20
FI000164,F001,C343,156,4,8,152,144,2027-01-01,19.90
FI000165,F001,C351,52,2,4,50,46,2027-01-01,1.00
FI000166,F001,C363,40,2,4,38,34,2027-01-01,6.40
FI000167,F001,C364,20,1,2,19,17,2027-01-01,6.85
FI000168,F001,C369,48,0,8,48,40,2027-01-01,9.10
FI000169,F001,C370,23,2,2,21,19,2027-01-01,9.55
FI000170,F001,C372,33,2,2,31,29,2027-01-01,10.45
FI000171,F001,C381,16,0,2,16,14,2027-01-01,14.50
FI000172,F001,C382,15,0,2,15,13,2027-01-01,14.95
FI000173,F001,C386,136,0,8,136,128,2027-01-01,16.75
FI000174,F001,C387,34,2,4,32,28,2027-01-01,17.20
FI000175,F001,C388,20,2,2,18,16,2027-01-01,17.65
FI000176,F001,C390,32,4,4,28,24,2027-01-01,18.55
FI000177,F001,C392,39,1,2,38,36,2027-01-01,19.45
FI000178,F001,C394,128,8,8,120,112,2027-01-01,20.35
FI000179,F001,C395,18,1,2,17,15,2027-01-01,20.80
FI000180,F001,C396,12,1,2,11,9,2027-01-01,21.25
FI000181,F001,C397,68,4,4,64,60,2027-01-01,21.70
FI000182,F001,C398,38,1,2,37,35,2027-01-01,22.15
FI000183,F001,C399,31,1,2,30,28,2027-01-01,22.60
FI000184,F001,C400,66,4,4,62,58,2027-01-01,23.05
FI000185,F001,C402,64,0,4,64,60,2027-01-01,1.45
