factory_id,date,nominal_capacity_units,committed_capacity_units,available_capacity_units,operating_cost_per_unit_usd,labor_cost_per_unit_usd,conversion_cost_per_unit_usd
F001,2027-01-01,4000,3026,974,118.79,38.32,157.11
F001,2027-01-02,4000,3026,974,118.79,38.32,157.11
F001,2027-01-03,4000,3026,974,118.79,38.32,157.11
F001,2027-01-04,4000,3026,974,118.79,38.32,157.11
F001,2027-01-05,4000,3026,974,118.79,38.32,157.11
F001,2027-01-06,4000,3026,974,118.79,38.32,157.11
F001,2027-01-07,4000,3026,974,118.79,38.32,157.11
F001,2027-01-08,4000,3026,974,118.79,38.32,157.11
F001,2027-01-09,4000,3026,974,118.79,38.32,157.11
F001,2027-01-10,4000,3026,974,118.79,38.32,157.11
F001,2027-01-11,4000,3026,974,118.79,38.32,157.11
F001,2027-01-12,4000,3026,974,118.79,38.32,157.11
F001,2027-01-13,4000,3026,974,118.79,38.32,157.11
F001,2027-01-14,4000,3026,974,118.79,38.32,157.11
F001,2027-01-15,4000,3026,974,118.79,38.32,157.11
F001,2027-01-16,4000,3026,974,118.79,38.32,157.11
F001,2027-01-17,4000,3026,974,118.79,38.32,157.11
F001,2027-01-18,4000,3026,974,118.79,38.32,157.11
F001,2027-01-19,4000,3026,974,118.79,38.32,157.11
F001,2027-01-20,4000,3026,974,118.79,38.32,157.11
F001,2027-01-21,4000,3026,974,118.79,38.32,157.11
F001,2027-01-22,4000,3026,974,118.79,38.32,157.11
F001,2027-01-23,4000,3026,974,118.79,38.32,157.11
F001,2027-01-24,4000,3026,974,118.79,38.32,157.11
F001,2027-01-25,4000,3026,974,118.79,38.32,157.11
F001,2027-01-26,4000,3026,974,118.79,38.32,157.11
F001,2027-01-27,4000,3026,974,118.79,38.32,157.11
F001,2027-01-28,4000,3026,974,118.79,38.32,157.11
F001,2027-01-29,4000,3026,974,118.79,38.32,157.11
F001,2027-01-30,4000,3026,974,118.79,38.32,157.11
F001,2027-01-31,4000,3026,974,118.79,38.32,157.11
F002,2027-01-01,11500,9546,1954,44.11,8.69,52.80
F002,2027-01-02,11500,9546,1954,44.11,8.69,52.80
F002,2027-01-03,11500,9546,1954,44.11,8.69,52.80
F002,2027-01-04,11500,9546,1954,44.11,8.69,52.80
F002,2027-01-05,11500,9546,1954,44.11,8.69,52.80
F002,2027-01-06,11500,9546,1954,44.11,8.69,52.80
F002,2027-01-07,11500,9546,1954,44.11,8.69,52.80
F002,2027-01-08,11500,9546,1954,44.11,8.69,52.80
F002,2027-01-09,11500,9546,1954,44.11,8.69,52.80
F002,2027-01-10,11500,9546,1954,44.11,8.69,52.80
F002,2027-01-11,11500,9546,1954,44.11,8.69,52.80
F002,2027-01-12,11500,9546,1954,44.11,8.69,52.80
F002,2027-01-13,11500,9546,1954,44.11,8.69,52.80
F002,2027-01-14,11500,9546,1954,44.11,8.69,52.80
F002,2027-01-15,11500,9546,1954,44.11,8.69,52.80
F002,2027-01-16,11500,9546,1954,44.11,8.69,52.80
F002,2027-01-17,11500,9546,1954,44.11,8.69,52.80
F002,2027-01-18,11500,9546,1954,44.11,8.69,52.80
F002,2027-01-19,11500,9546,1954,44.11,8.69,52.80
F002,2027-01-20,11500,9546,1954,44.11,8.69,52.80
F002,2027-01-21,11500,9546,1954,44.11,8.69,52.80
F002,2027-01-22,11500,9546,1954,44.11,8.69,52.80
F002,2027-01-23,11500,9546,1954,44.11,8.69,52.80
F002,2027-01-24,11500,9546,1954,44.11,8.69,52.80
F002,2027-01-25,11500,9546,1954,44.11,8.69,52.80
F002,2027-01-26,11500,9546,1954,44.11,8.69,52.80
F002,2027-01-27,11500,9546,1954,44.11,8.69,52.80
F002,2027-01-28,11500,9546,1954,44.11,8.69,52.80
F002,2027-01-29,11500,9546,1954,44.11,8.69,52.80
F002,2027-01-30,11500,9546,1954,44.11,8.69,52.80
F002,2027-01-31,11500,9546,1954,44.11,8.69,52.80
F003,2027-01-01,17000,11638,5362,125.43,44.44,169.87
F003,2027-01-02,17000,11638,5362,125.43,44.44,169.87
F003,2027-01-03,17000,11638,5362,125.43,44.44,169.87
F003,2027-01-04,17000,11638,5362,125.43,44.44,169.87
F003,2027-01-05,17000,11638,5362,125.43,44.44,169.87
F003,2027-01-06,17000,11638,5362,125.43,44.44,169.87
F003,2027-01-07,17000,11638,5362,125.43,44.44,169.87
F003,2027-01-08,17000,11638,5362,125.43,44.44,169.87
F003,2027-01-09,17000,11638,5362,125.43,44.44,169.87
F003,2027-01-10,17000,11638,5362,125.43,44.44,169.87
F003,2027-01-11,17000,11638,5362,125.43,44.44,169.87
F003,2027-01-12,17000,11638,5362,125.43,44.44,169.87
F003,2027-01-13,17000,11638,5362,125.43,44.44,169.87
F003,2027-01-14,17000,11638,5362,125.43,44.44,169.87
F003,2027-01-15,17000,11638,5362,125.43,44.44,169.87
F003,2027-01-16,17000,11638,5362,125.43,44.44,169.87
F003,2027-01-17,17000,11638,5362,125.43,44.44,169.87
F003,2027-01-18,17000,11638,5362,125.43,44.44,169.87
F003,2027-01-19,17000,11638,5362,125.43,44.44,169.87
F003,2027-01-20,17000,11638,5362,125.43,44.44,169.87
F003,2027-01-21,17000,11638,5362,125.43,44.44,169.87
F003,2027-01-22,17000,11638,5362,125.43,44.44,169.87
F003,2027-01-23,17000,11638,5362,125.43,44.44,169.87
F003,2027-01-24,17000,11638,5362,125.43,44.44,169.87
F003,2027-01-25,17000,11638,5362,125.43,44.44,169.87
F003,2027-01-26,17000,11638,5362,125.43,44.44,169.87
F003,2027-01-27,17000,11638,5362,125.43,44.44,169.87
F003,2027-01-28,17000,11638,5362,125.43,44.44,169.87
F003,2027-01-29,17000,11638,5362,125.43,44.44,169.87
F003,2027-01-30,17000,11638,5362,125.43,44.44,169.87
F003,2027-01-31,17000,11638,5362,125.43,44.44,169.87
F004,2027-01-01,13000,7495,5505,44.06,11.94,56.00
F004,2027-01-02,13000,7495,5505,44.06,11.94,56.00
F004,2027-01-03,13000,7495,5505,44.06,11.94,56.00
F004,2027-01-04,13000,7495,5505,44.06,11.94,56.00
F004,2027-01-05,13000,7495,5505,44.06,11.94,56.00
F004,2027-01-06,13000,7495,5505,44.06,11.94,56.00
F004,2027-01-07,13000,7495,5505,44.06,11.94,56.00
F004,2027-01-08,13000,7495,5505,44.06,11.94,56.00
F004,2027-01-09,13000,7495,5505,44.06,11.94,56.00
F004,2027-01-10,13000,7495,5505,44.06,11.94,56.00
F004,2027-01-11,13000,7495,5505,44.06,11.94,56.00
F004,2027-01-12,13000,7495,5505,44.06,11.94,56.00
F004,2027-01-13,13000,7495,5505,44.06,11.94,56.00
F004,2027-01-14,13000,7495,5505,44.06,11.94,56.00
F004,2027-01-15,13000,7495,5505,44.06,11.94,56.00
F004,2027-01-16,13000,7495,5505,44.06,11.94,56.00
F004,2027-01-17,13000,7495,5505,44.06,11.94,56.00
F004,2027-01-18,13000,7495,5505,44.06,11.94,56.00
F004,2027-01-19,13000,7495,5505,44.06,11.94,56.00
F004,2027-01-20,13000,7495,5505,44.06,11.94,56.00
F004,2027-01-21,13000,7495,5505,44.06,11.94,56.00
F004,2027-01-22,13000,7495,5505,44.06,11.94,56.00
F004,2027-01-23,13000,7495,5505,44.06,11.94,56.00
F004,2027-01-24,13000,7495,5505,44.06,11.94,56.00
F004,2027-01-25,13000,7495,5505,44.06,11.94,56.00
F004,2027-01-26,13000,7495,5505,44.06,11.94,56.00
F004,2027-01-27,13000,7495,5505,44.06,11.94,56.00
F004,2027-01-28,13000,7495,5505,44.06,11.94,56.00
F004,2027-01-29,13000,7495,5505,44.06,11.94,56.00
F004,2027-01-30,13000,7495,5505,44.06,11.94,56.00
F004,2027-01-31,13000,7495,5505,44.06,11.94,56.00
F005,2027-01-01,19000,11747,7253,20.27,25.28,45.55
F005,2027-01-02,19000,11747,7253,20.27,25.28,45.55
F005,2027-01-03,19000,11747,7253,20.27,25.28,45.55
F005,2027-01-04,19000,11747,7253,20.27,25.28,45.55
F005,2027-01-05,19000,11747,7253,20.27,25.28,45.55
F005,2027-01-06,19000,11747,7253,20.27,25.28,45.55
F005,2027-01-07,19000,11747,7253,20.27,25.28,45.55
F005,2027-01-08,19000,11747,7253,20.27,25.28,45.55
F005,2027-01-09,19000,11747,7253,20.27,25.28,45.55
F005,2027-01-10,19000,11747,7253,20.27,25.28,45.55
F005,2027-01-11,19000,11747,7253,20.27,25.28,45.55
F005,2027-01-12,19000,11747,7253,20.27,25.28,45.55
F005,2027-01-13,19000,11747,7253,20.27,25.28,45.55
F005,2027-01-14,19000,11747,7253,20.27,25.28,45.55
F005,2027-01-15,19000,11747,7253,20.27,25.28,45.55
F005,2027-01-16,19000,11747,7253,20.27,25.28,45.55
F005,2027-01-17,19000,11747,7253,20.27,25.28,45.55
F005,2027-01-18,19000,11747,7253,20.27,25.28,45.55
F005,2027-01-19,19000,11747,7253,20.27,25.28,45.55
F005,2027-01-20,19000,11747,7253,20.27,25.28,45.55
F005,2027-01-21,19000,11747,7253,20.27,25.28,45.55
F005,2027-01-22,19000,11747,7253,20.27,25.28,45.55
F005,2027-01-23,19000,11747,7253,20.27,25.28,45.55
