supplier_id,component_id,date,supplier_capacity_units,supplier_committed_units,supplier_available_units,component_capacity_units,component_committed_units,component_available_units,unit_cost_usd,lead_time_days,minimum_order_qty
S001,C001,2027-01-01,50000,17500,32500,10000,5000,5000,1.00,18,100
S001,C101,2027-01-01,50000,17500,32500,10000,2600,7400,1.00,18,50
S001,C201,2027-01-01,50000,17500,32500,10000,2800,7200,1.00,18,1000
S001,C301,2027-01-01,50000,17500,32500,10000,2800,7200,1.00,18,50
S001,C401,2027-01-01,50000,17500,32500,10000,4300,5700,1.00,18,50
S001,C001,2027-01-02,50000,20100,29900,10000,2400,7600,1.00,18,100
S001,C101,2027-01-02,50000,20100,29900,10000,5600,4400,1.00,18,50
S001,C201,2027-01-02,50000,20100,29900,10000,5200,4800,1.00,18,1000
S001,C301,2027-01-02,50000,20100,29900,10000,2200,7800,1.00,18,50
S001,C401,2027-01-02,50000,20100,29900,10000,4700,5300,1.00,18,50
S001,C001,2027-01-03,50000,17100,32900,10000,2600,7400,1.00,18,100
S001,C101,2027-01-03,50000,17100,32900,10000,5900,4100,1.00,18,50
S001,C201,2027-01-03,50000,17100,32900,10000,2000,8000,1.00,18,1000
S001,C301,2027-01-03,50000,17100,32900,10000,4300,5700,1.00,18,50
S001,C401,2027-01-03,50000,17100,32900,10000,2300,7700,1.00,18,50
S001,C001,2027-01-04,50000,17500,32500,10000,2400,7600,1.00,18,100
S001,C101,2027-01-04,50000,17500,32500,10000,3000,7000,1.00,18,50
S001,C201,2027-01-04,50000,17500,32500,10000,3500,6500,1.00,18,1000
S001,C301,2027-01-04,50000,17500,32500,10000,3200,6800,1.00,18,50
S001,C401,2027-01-04,50000,17500,32500,10000,5400,4600,1.00,18,50
S001,C001,2027-01-05,50000,22100,27900,10000,2300,7700,1.00,18,100
S001,C101,2027-01-05,50000,22100,27900,10000,5200,4800,1.00,18,50
S001,C201,2027-01-05,50000,22100,27900,10000,3900,6100,1.00,18,1000
S001,C301,2027-01-05,50000,22100,27900,10000,5800,4200,1.00,18,50
S001,C401,2027-01-05,50000,22100,27900,10000,4900,5100,1.00,18,50
S001,C001,2027-01-06,50000,21100,28900,10000,5600,4400,1.00,18,100
