reliability_score,financial_risk,geopolitical_risk,weather_risk,cyber_risk,component_capacity,lead_time_days,lead_time_std,supplier_id,region,component_count,downstream_product_count,downstream_factory_count,route_count,graph_degree,date,weather_signal,congestion_signal,demand_pressure,utilization,delay_rate_7d,onsets_30d,completed_duration_mean_90d,days_since_onset
0.9465,0.3759,0.0972,0.3208,0.1143,50000,18,0.99,S002,West,5,46,20,2,5,2028-12-30,0.2102392143,0.3965513407,0.3235030705,0.6455763817,0.06428571429,0,0,195
0.9865,0.281,0.3404,0.3049,0.0553,50000,12,0.87,S003,North,5,39,16,2,5,2028-12-30,0.3498356055,0.2211820866,0.4295476763,0.6932964543,0.1142857143,0,2.5,51
0.9392,0.1608,0.0603,0.1835,0.1064,50000,27,1.52,S004,South,5,44,19,2,5,2028-12-30,0.2955926567,0.243998302,0.5988161541,0.7694672694,0.1071428571,0,0,175
0.781,0.2229,0.0773,0.186,0.0993,50000,3,4.2,S005,South,5,39,19,2,5,2028-12-30,0.3551848187,0.5965708248,0.5135299774,0.7310884898,0.1714285714,1,4,10
0.9648,0.4487,0.0456,0.1478,0.2499,50000,3,2.52,S006,West,5,34,18,2,5,2028-12-30,0.5615597244,0.1558923196,0.06721731389,0.5302477912,0.15,1,3,24
0.863,0.2129,0.0467,0.2284,0.2993,50000,17,2.1,S007,East,5,45,19,2,5,2028-12-30,0.5445410488,0.3106359525,0.410195968,0.6845881856,0.1071428571,0,4,46
0.8724,0.0565,0.0719,0.1224,0.2611,50000,9,2.05,S008,West,5,43,19,2,5,2028-12-30,0.1608565571,0.6394186444,0.4365519076,0.6964483584,0.1214285714,0,3,87
0.8578,0.2408,0.2735,0.0367,0.1521,50000,24,0.83,S009,North,5,38,20,2,5,2028-12-30,0.2199761484,0.5430925005,0.4418772442,0.6988447599,0.1357142857,0,4.5,50
0.8926,0.376,0.2756,0.0542,0.4053,50000,17,2.69,S010,South,5,37,19,2,5,2028-12-30,0.305256809,0.4103448153,0.3420014393,0.6539006477,0.1428571429,0,0,168
0.8705,0.2014,0.1017,0.1299,0.0909,50000,28,1.37,S011,South,5,32,17,2,5,2028-12-30,0.2874279384,0.04927553035,0.4409406486,0.6984232919,0.1,0,0,99
