reliability_score,financial_risk,geopolitical_risk,weather_risk,cyber_risk,component_capacity,lead_time_days,lead_time_std,supplier_id,region,component_count,downstream_product_count,downstream_factory_count,route_count,graph_degree,date,weather_signal,congestion_signal,demand_pressure,utilization,delay_rate_7d,onsets_30d,completed_duration_mean_90d,days_since_onset,disruption_risk,label_window_end,split
0.7968,0.5081,0.0046,0.4261,0.1713,50000,18,4.54,S001,South,5,44,20,2,5,2027-01-31,0.3444160475,0.1481190418,0.3890629784,0.6750783403,0.1928571429,0,0,366,0,2027-02-07,train
0.7968,0.5081,0.0046,0.4261,0.1713,50000,18,4.54,S001,South,5,44,20,2,5,2027-02-01,0.315181619,0.06169784849,0.2702907736,0.6216308481,0.1785714286,0,0,366,0,2027-02-08,train
0.7968,0.5081,0.0046,0.4261,0.1713,50000,18,4.54,S001,South,5,44,20,2,5,2027-02-02,0.3222762784,0.1011541359,0.3132972203,0.6409837491,0.1642857143,0,0,366,0,2027-02-09,train
0.7968,0.5081,0.0046,0.4261,0.1713,50000,18,4.54,S001,South,5,44,20,2,5,2027-02-03,0.3708453981,0.1455976265,0.3253388978,0.646402504,0.15,0,0,366,0,2027-02-10,train
0.7968,0.5081,0.0046,0.4261,0.1713,50000,18,4.54,S001,South,5,44,20,2,5,2027-02-04,0.3066242858,0.216015493,0.3715909455,0.6672159255,0.15,0,0,366,0,2027-02-11,train
0.7968,0.5081,0.0046,0.4261,0.1713,50000,18,4.54,S001,South,5,44,20,2,5,2027-02-05,0.3269170452,0.2015804674,0.2127717196,0.5957472738,0.15,0,0,366,0,2027-02-12,train
0.7968,0.5081,0.0046,0.4261,0.1713,50000,18,4.54,S001,South,5,44,20,2,5,2027-02-06,0.2995832164,0.2326351044,0.1373922822,0.561826527,0.1428571429,0,0,366,0,2027-02-13,train
0.7968,0.5081,0.0046,0.4261,0.1713,50000,18,4.54,S001,South,5,44,20,2,5,2027-02-07,0.2472853133,0.3770618557,0.1611614651,0.5725226593,0.1142857143,0,0,366,0,2027-02-14,train
0.7968,0.5081,0.0046,0.4261,0.1713,50000,18,4.54,S001,South,5,44,20,2,5,2027-02-08,0.2473284347,0.3078733423,0.08077317366,0.5363479281,0.1071428571,0,0,366,0,2027-02-15,train
0.7968,0.5081,0.0046,0.4261,0.1713,50000,18,4.54,S001,South,5,44,20,2,5,2027-02-09,0.3826032237,0.2618760708,0.2411329687,0.6085098359,0.1357142857,0,0,366,0,2027-02-16,train
