group_kind,group,rows,average_precision,roc_auc,brier,precision,recall,f1,accuracy,false_alert_rate,alert_fraction,tp,fp,tn,fn,note
supplier,S001,88,0.24450113378684807,0.5193050193050193,0.13591791689395905,0.0,0.0,0.0,0.8181818181818182,0.02702702702702703,0.022727272727272728,0.0,2.0,72.0,14.0,
supplier,S002,89,0.16899865404251369,0.7048611111111112,0.08826278150081635,0.07142857142857142,0.1111111111111111,0.08695652173913043,0.7640449438202247,0.1625,0.15730337078651685,1.0,13.0,67.0,8.0,
supplier,S003,92,0.12657577112872961,0.6773109243697479,0.07007564604282379,0.0,0.0,0.0,0.9239130434782609,0.0,0.0,0.0,0.0,85.0,7.0,
supplier,S004,91,0.18036105008091463,0.5626159554730984,0.13550350069999695,0.0,0.0,0.0,0.8131868131868132,0.03896103896103896,0.03296703296703297,0.0,3.0,74.0,14.0,
supplier,S005,94,0.11516572900569978,0.6683087027914614,0.06858785450458527,0.0,0.0,0.0,0.9148936170212766,0.011494252873563218,0.010638297872340425,0.0,1.0,86.0,7.0,
supplier,S006,74,0.29210655193927576,0.4746503496503497,0.24332742393016815,0.2222222222222222,0.09090909090909091,0.12903225806451613,0.6351351351351351,0.1346153846153846,0.12162162162162163,2.0,7.0,45.0,20.0,
supplier,S007,97,,,0.006024631305430087,,,,,,,,,,,AP/ROC omitted for single-class group
supplier,S008,97,,,0.005316907167110533,,,,,,,,,,,AP/ROC omitted for single-class group
supplier,S009,90,0.11964414220057712,0.2213345864661654,0.13982459902763367,0.0,0.0,0.0,0.8333333333333334,0.013157894736842105,0.011111111111111112,0.0,1.0,75.0,14.0,
supplier,S010,86,0.32019350423513815,0.6025326797385622,0.17271186411380768,0.5714285714285714,0.2222222222222222,0.32,0.8023255813953488,0.04411764705882353,0.08139534883720931,4.0,3.0,65.0,14.0,
supplier,S011,97,,,0.005683135036625811,,,,,,,,,,,AP/ROC omitted for single-class group
supplier,S012,91,0.0878830836966037,0.5306122448979592,0.07477828115224838,0.038461538461538464,0.14285714285714285,0.06060606060606061,0.6593406593406593,0.2976190476190476,0.2857142857142857,1.0,25.0,59.0,6.0,
supplier,S013,93,0.2152579838514521,0.8338870431893688,0.06781912595033646,0.0,0.0,0.0,0.8602150537634409,0.06976744186046512,0.06451612903225806,0.0,6.0,80.0,7.0,
supplier,S014,94,0.07205317123671467,0.4236453201970443,0.06953858584165573,0.0,0.0,0.0,0.925531914893617,0.0,0.0,0.0,0.0,87.0,7.0,
supplier,S015,92,,,0.012772516010666576,,,,,,,,,,,AP/ROC omitted for single-class group
supplier,S016,91,0.46450719653212913,0.7574211502782932,0.12659750878810883,0.6363636363636364,0.5,0.56,0.8791208791208791,0.05194805194805195,0.12087912087912088,7.0,4.0,73.0,7.0,
supplier,S017,92,0.4539260082023239,0.9114583333333334,0.07522092759609222,0.0,0.0,0.0,0.9021739130434783,0.011904761904761904,0.010869565217391304,0.0,1.0,83.0,8.0,
supplier,S018,97,,,0.006158392202821099,,,,,,,,,,,AP/ROC omitted for single-class group
supplier,S019,84,0.1750004649973501,0.34595959595959597,0.183023601770401,0.0,0.0,0.0,0.5952380952380952,0.24242424242424243,0.19047619047619047,0.0,16.0,50.0,18.0,
supplier,S020,97,,,0.006296157268384509,,,,,,,,,,,AP/ROC omitted for single-class group
supplier,S021,93,0.06895702863444798,0.387873754152824,0.07049533724784851,0.0,0.0,0.0,0.9247311827956989,0.0,0.0,0.0,0.0,86.0,7.0,
supplier,S022,83,0.4130923070386502,0.5691558441558442,0.2821234166622162,0.0,0.0,0.0,0.6626506024096386,0.0,0.0,0.0,0.0,55.0,28.0,
supplier,S023,97,,,0.01824665405131934,,,,,,,,,,,AP/ROC omitted for single-class group
supplier,S024,97,,,0.006138148963312258,,,,,,,,,,,AP/ROC omitted for single-class group
supplier,S025,89,0.4245244028064216,0.7347619047619047,0.13217127323150635,0.0,0.0,0.0,0.8426966292134831,0.0,0.0,0.0,0.0,75.0,14.0,
