supplier_id,date,disruption_risk,risk_probability,predicted,error_type,wrong_label_confidence
S048,2028-09-01,1,0.0569855459,False,FN,0.9430144429
S048,2028-09-02,1,0.0569855459,False,FN,0.9430144429
S048,2028-09-03,1,0.0569855459,False,FN,0.9430144429
S097,2028-08-18,1,0.0569855459,False,FN,0.9430144429
S097,2028-08-21,1,0.0569855459,False,FN,0.9430144429
S097,2028-08-23,1,0.0569855459,False,FN,0.9430144429
S097,2028-08-22,1,0.0569855459,False,FN,0.9430144429
S097,2028-08-20,1,0.0569855459,False,FN,0.9430144429
S097,2028-08-19,1,0.0569855459,False,FN,0.9430144429
S097,2028-08-24,1,0.0569855459,False,FN,0.9430144429
S064,2028-07-11,1,0.05752947927,False,FN,0.9424705505
S066,2028-06-08,1,0.05752947927,False,FN,0.9424705505
S066,2028-06-03,1,0.05752947927,False,FN,0.9424705505
S066,2028-06-05,1,0.05752947927,False,FN,0.9424705505
S066,2028-06-02,1,0.05752947927,False,FN,0.9424705505
S066,2028-06-06,1,0.05752947927,False,FN,0.9424705505
S048,2028-06-23,1,0.05752947927,False,FN,0.9424705505
S048,2028-06-21,1,0.05752947927,False,FN,0.9424705505
S066,2028-06-04,1,0.05752947927,False,FN,0.9424705505
S048,2028-06-20,1,0.05752947927,False,FN,0.9424705505
S048,2028-06-22,1,0.05752947927,False,FN,0.9424705505
S048,2028-06-19,1,0.05752947927,False,FN,0.9424705505
S021,2028-08-13,1,0.05783374608,False,FN,0.9421662688
S021,2028-08-08,1,0.05783374608,False,FN,0.9421662688
S021,2028-08-14,1,0.05783374608,False,FN,0.9421662688
S021,2028-08-09,1,0.05783374608,False,FN,0.9421662688
S054,2028-06-13,1,0.05823766813,False,FN,0.9417623281
S099,2028-05-31,1,0.05823766813,False,FN,0.9417623281
S080,2028-06-22,1,0.05823766813,False,FN,0.9417623281
S080,2028-06-24,1,0.05823766813,False,FN,0.9417623281
S099,2028-06-03,1,0.05823766813,False,FN,0.9417623281
S099,2028-06-01,1,0.05823766813,False,FN,0.9417623281
S065,2028-07-24,1,0.05823766813,False,FN,0.9417623281
S080,2028-06-21,1,0.05823766813,False,FN,0.9417623281
S080,2028-06-23,1,0.05823766813,False,FN,0.9417623281
S080,2028-06-18,1,0.05823766813,False,FN,0.9417623281
S080,2028-06-19,1,0.05823766813,False,FN,0.9417623281
S080,2028-06-20,1,0.05823766813,False,FN,0.9417623281
S099,2028-06-02,1,0.05823766813,False,FN,0.9417623281
S065,2028-07-23,1,0.05823766813,False,FN,0.9417623281
S038,2028-07-05,1,0.05879281089,False,FN,0.9412071705
S038,2028-07-03,1,0.05879281089,False,FN,0.9412071705
S038,2028-07-02,1,0.05879281089,False,FN,0.9412071705
S071,2028-09-02,1,0.05879281089,False,FN,0.9412071705
