feature,development_ap_decrease
financial_risk,0.009969685145888946
weather_signal,0.009024299263929808
delay_rate_7d,0.006668598406862958
days_since_onset,0.0017261270007116747
completed_duration_mean_90d,0.00016224422486049717
onsets_30d,7.430873800176596e-05
demand_pressure,0.0
utilization,0.0
graph_degree,0.0
route_count,0.0
component_capacity,0.0
downstream_product_count,0.0
downstream_factory_count,0.0
component_count,0.0
region,0.0
congestion_signal,-0.000608737418523464
lead_time_days,-0.0007589831057606689
lead_time_std,-0.001217997738083204
cyber_risk,-0.0013902364413355128
geopolitical_risk,-0.001992671319254624
weather_risk,-0.002208135591161897
reliability_score,-0.0030299524549186607
