supplier_id,date,feature,calibrated_log_odds_contribution,calibrated_baseline_log_odds,direction
S002,2028-12-30,numeric__weather_signal,-0.2192708701,-2.291809082,decreases
S002,2028-12-30,numeric__financial_risk,0.1238659918,-2.291809082,increases
S002,2028-12-30,numeric__reliability_score,-0.07657185942,-2.291809082,decreases
S002,2028-12-30,numeric__days_since_onset,-0.06387073547,-2.291809082,decreases
S002,2028-12-30,numeric__lead_time_std,0.06315217167,-2.291809082,increases
S003,2028-12-30,numeric__reliability_score,-0.07657185942,-2.291809082,decreases
S003,2028-12-30,numeric__days_since_onset,-0.06387073547,-2.291809082,decreases
S003,2028-12-30,numeric__lead_time_std,0.06315217167,-2.291809082,increases
S003,2028-12-30,numeric__weather_signal,-0.0394127816,-2.291809082,decreases
S003,2028-12-30,numeric__delay_rate_7d,-0.03804020956,-2.291809082,decreases
S004,2028-12-30,numeric__reliability_score,-0.07657185942,-2.291809082,decreases
S004,2028-12-30,numeric__weather_signal,-0.06927733868,-2.291809082,decreases
S004,2028-12-30,numeric__days_since_onset,-0.06387073547,-2.291809082,decreases
S004,2028-12-30,numeric__geopolitical_risk,0.0402231589,-2.291809082,increases
S004,2028-12-30,numeric__delay_rate_7d,-0.03804020956,-2.291809082,decreases
S005,2028-12-30,numeric__days_since_onset,0.1680868566,-2.291809082,increases
S005,2028-12-30,numeric__congestion_signal,0.1672755629,-2.291809082,increases
S005,2028-12-30,numeric__reliability_score,-0.07657185942,-2.291809082,decreases
S005,2028-12-30,numeric__weather_signal,-0.0394127816,-2.291809082,decreases
S005,2028-12-30,numeric__financial_risk,-0.03450156748,-2.291809082,decreases
S006,2028-12-30,numeric__weather_signal,0.2656781077,-2.291809082,increases
S006,2028-12-30,numeric__days_since_onset,0.1680868566,-2.291809082,increases
S006,2028-12-30,numeric__financial_risk,0.1238659918,-2.291809082,increases
S006,2028-12-30,numeric__reliability_score,-0.07657185942,-2.291809082,decreases
S006,2028-12-30,numeric__geopolitical_risk,0.0402231589,-2.291809082,increases
S007,2028-12-30,numeric__weather_signal,0.1830045283,-2.291809082,increases
S007,2028-12-30,numeric__reliability_score,-0.07657185942,-2.291809082,decreases
S007,2028-12-30,numeric__days_since_onset,-0.06387073547,-2.291809082,decreases
S007,2028-12-30,numeric__geopolitical_risk,0.0402231589,-2.291809082,increases
S007,2028-12-30,numeric__delay_rate_7d,-0.03804020956,-2.291809082,decreases
S008,2028-12-30,numeric__weather_signal,-0.2192708701,-2.291809082,decreases
S008,2028-12-30,numeric__congestion_signal,0.1672755629,-2.291809082,increases
S008,2028-12-30,numeric__reliability_score,-0.07657185942,-2.291809082,decreases
S008,2028-12-30,numeric__days_since_onset,-0.06387073547,-2.291809082,decreases
S008,2028-12-30,numeric__geopolitical_risk,0.0402231589,-2.291809082,increases
S009,2028-12-30,numeric__weather_signal,-0.2192708701,-2.291809082,decreases
S009,2028-12-30,numeric__weather_risk,0.14430435,-2.291809082,increases
S009,2028-12-30,numeric__reliability_score,-0.07657185942,-2.291809082,decreases
S009,2028-12-30,numeric__days_since_onset,-0.06387073547,-2.291809082,decreases
S009,2028-12-30,numeric__lead_time_std,0.06315217167,-2.291809082,increases
S010,2028-12-30,numeric__financial_risk,0.1238659918,-2.291809082,increases
S010,2028-12-30,numeric__weather_risk,0.1180119291,-2.291809082,increases
S010,2028-12-30,numeric__reliability_score,-0.07657185942,-2.291809082,decreases
S010,2028-12-30,numeric__weather_signal,-0.06927733868,-2.291809082,decreases
S010,2028-12-30,numeric__days_since_onset,-0.06387073547,-2.291809082,decreases
S011,2028-12-30,numeric__weather_signal,-0.2192708701,-2.291809082,decreases
S011,2028-12-30,numeric__reliability_score,-0.07657185942,-2.291809082,decreases
S011,2028-12-30,numeric__days_since_onset,-0.06387073547,-2.291809082,decreases
S011,2028-12-30,numeric__delay_rate_7d,-0.03804020956,-2.291809082,decreases
S011,2028-12-30,numeric__financial_risk,-0.03450156748,-2.291809082,decreases
S012,2028-12-30,numeric__reliability_score,0.2357717007,-2.291809082,increases
S012,2028-12-30,numeric__weather_signal,-0.2192708701,-2.291809082,decreases
S012,2028-12-30,numeric__congestion_signal,0.1672755629,-2.291809082,increases
S012,2028-12-30,numeric__days_since_onset,-0.06387073547,-2.291809082,decreases
S012,2028-12-30,numeric__financial_risk,-0.03450156748,-2.291809082,decreases
S013,2028-12-30,numeric__reliability_score,0.2357717007,-2.291809082,increases
S013,2028-12-30,numeric__weather_signal,-0.2192708701,-2.291809082,decreases
S013,2028-12-30,numeric__delay_rate_7d,0.1039848104,-2.291809082,increases
S013,2028-12-30,numeric__days_since_onset,-0.06387073547,-2.291809082,decreases
