supplier_id,date,disruption_probability,risk_rank,risk_level,horizon_days,model_version
S095,2028-12-30,0.1644685268,1,HIGH,7,SupplyGrid-XGBoost-single-v1
S015,2028-12-30,0.1637573242,2,HIGH,7,SupplyGrid-XGBoost-single-v1
S085,2028-12-30,0.1584548205,3,HIGH,7,SupplyGrid-XGBoost-single-v1
S079,2028-12-30,0.1522687525,4,HIGH,7,SupplyGrid-XGBoost-single-v1
S035,2028-12-30,0.1487244517,5,LOW,7,SupplyGrid-XGBoost-single-v1
S086,2028-12-30,0.1420874149,6,LOW,7,SupplyGrid-XGBoost-single-v1
S096,2028-12-30,0.1416496634,7,LOW,7,SupplyGrid-XGBoost-single-v1
S031,2028-12-30,0.1385722607,8,LOW,7,SupplyGrid-XGBoost-single-v1
S006,2028-12-30,0.1382487863,9,LOW,7,SupplyGrid-XGBoost-single-v1
S097,2028-12-30,0.1251821816,10,LOW,7,SupplyGrid-XGBoost-single-v1
S050,2028-12-30,0.1236882433,11,LOW,7,SupplyGrid-XGBoost-single-v1
S041,2028-12-30,0.1233266518,12,LOW,7,SupplyGrid-XGBoost-single-v1
S082,2028-12-30,0.1224226579,13,LOW,7,SupplyGrid-XGBoost-single-v1
S072,2028-12-30,0.1201185808,14,LOW,7,SupplyGrid-XGBoost-single-v1
S083,2028-12-30,0.1187653542,15,LOW,7,SupplyGrid-XGBoost-single-v1
S056,2028-12-30,0.1183074787,16,LOW,7,SupplyGrid-XGBoost-single-v1
S047,2028-12-30,0.1178770512,17,LOW,7,SupplyGrid-XGBoost-single-v1
S023,2028-12-30,0.1149191633,18,LOW,7,SupplyGrid-XGBoost-single-v1
S092,2028-12-30,0.1137920767,19,LOW,7,SupplyGrid-XGBoost-single-v1
S077,2028-12-30,0.1133816317,20,LOW,7,SupplyGrid-XGBoost-single-v1
S029,2028-12-30,0.1115516499,21,LOW,7,SupplyGrid-XGBoost-single-v1
S005,2028-12-30,0.1112259999,22,LOW,7,SupplyGrid-XGBoost-single-v1
S055,2028-12-30,0.1090780571,23,LOW,7,SupplyGrid-XGBoost-single-v1
S040,2028-12-30,0.1079637706,24,LOW,7,SupplyGrid-XGBoost-single-v1
S036,2028-12-30,0.1074520424,25,LOW,7,SupplyGrid-XGBoost-single-v1
S049,2028-12-30,0.1061151996,26,LOW,7,SupplyGrid-XGBoost-single-v1
S052,2028-12-30,0.1056295484,27,LOW,7,SupplyGrid-XGBoost-single-v1
S021,2028-12-30,0.1048089042,28,LOW,7,SupplyGrid-XGBoost-single-v1
S054,2028-12-30,0.1046183184,29,LOW,7,SupplyGrid-XGBoost-single-v1
S051,2028-12-30,0.1042057127,30,LOW,7,SupplyGrid-XGBoost-single-v1
S063,2028-12-30,0.10363812,31,LOW,7,SupplyGrid-XGBoost-single-v1
S043,2028-12-30,0.102287963,32,LOW,7,SupplyGrid-XGBoost-single-v1
S030,2028-12-30,0.1016239375,33,LOW,7,SupplyGrid-XGBoost-single-v1
S034,2028-12-30,0.1015610099,34,LOW,7,SupplyGrid-XGBoost-single-v1
S058,2028-12-30,0.1013855785,35,LOW,7,SupplyGrid-XGBoost-single-v1
S078,2028-12-30,0.0994188413,36,LOW,7,SupplyGrid-XGBoost-single-v1
S099,2028-12-30,0.09680882841,37,LOW,7,SupplyGrid-XGBoost-single-v1
S016,2028-12-30,0.0941747725,38,LOW,7,SupplyGrid-XGBoost-single-v1
S012,2028-12-30,0.09382350743,39,LOW,7,SupplyGrid-XGBoost-single-v1
S061,2028-12-30,0.09359678626,40,LOW,7,SupplyGrid-XGBoost-single-v1
S039,2028-12-30,0.09204084426,41,LOW,7,SupplyGrid-XGBoost-single-v1
S057,2028-12-30,0.09186946601,42,LOW,7,SupplyGrid-XGBoost-single-v1
S026,2028-12-30,0.09038347751,43,LOW,7,SupplyGrid-XGBoost-single-v1
S013,2028-12-30,0.08957990259,44,LOW,7,SupplyGrid-XGBoost-single-v1
S007,2028-12-30,0.08947835863,45,LOW,7,SupplyGrid-XGBoost-single-v1
S073,2028-12-30,0.08901915699,46,LOW,7,SupplyGrid-XGBoost-single-v1
S100,2028-12-30,0.08754806966,47,LOW,7,SupplyGrid-XGBoost-single-v1
S094,2028-12-30,0.08752308786,48,LOW,7,SupplyGrid-XGBoost-single-v1
S010,2028-12-30,0.08737482876,49,LOW,7,SupplyGrid-XGBoost-single-v1
S080,2028-12-30,0.08573558927,50,LOW,7,SupplyGrid-XGBoost-single-v1
S076,2028-12-30,0.08535118401,51,LOW,7,SupplyGrid-XGBoost-single-v1
S014,2028-12-30,0.08517064899,52,LOW,7,SupplyGrid-XGBoost-single-v1
S064,2028-12-30,0.08472309262,53,LOW,7,SupplyGrid-XGBoost-single-v1
S048,2028-12-30,0.08466335386,54,LOW,7,SupplyGrid-XGBoost-single-v1
S067,2028-12-30,0.08413434774,55,LOW,7,SupplyGrid-XGBoost-single-v1
S088,2028-12-30,0.08404266834,56,LOW,7,SupplyGrid-XGBoost-single-v1
S091,2028-12-30,0.08286619186,57,LOW,7,SupplyGrid-XGBoost-single-v1
S060,2028-12-30,0.08173736185,58,LOW,7,SupplyGrid-XGBoost-single-v1
S033,2028-12-30,0.08116653562,59,LOW,7,SupplyGrid-XGBoost-single-v1
S024,2028-12-30,0.080839701,60,LOW,7,SupplyGrid-XGBoost-single-v1
S074,2028-12-30,0.080839701,61,LOW,7,SupplyGrid-XGBoost-single-v1
S062,2028-12-30,0.07865229994,62,LOW,7,SupplyGrid-XGBoost-single-v1
S019,2028-12-30,0.07792514563,63,LOW,7,SupplyGrid-XGBoost-single-v1
S090,2028-12-30,0.07679004967,64,LOW,7,SupplyGrid-XGBoost-single-v1
S098,2028-12-30,0.07613448799,65,LOW,7,SupplyGrid-XGBoost-single-v1
S003,2028-12-30,0.0760500133,66,LOW,7,SupplyGrid-XGBoost-single-v1
