reliability_score,financial_risk,geopolitical_risk,weather_risk,cyber_risk,component_capacity,lead_time_days,lead_time_std,supplier_id,region,component_count,downstream_product_count,downstream_factory_count,route_count,graph_degree
0.7968,0.5081,0.0046,0.4261,0.1713,50000,18,4.54,S001,South,5,44,20,2,5
0.9465,0.3759,0.0972,0.3208,0.1143,50000,18,0.99,S002,West,5,46,20,2,5
0.9865,0.281,0.3404,0.3049,0.0553,50000,12,0.87,S003,North,5,39,16,2,5
0.9392,0.1608,0.0603,0.1835,0.1064,50000,27,1.52,S004,South,5,44,19,2,5
0.781,0.2229,0.0773,0.186,0.0993,50000,3,4.2,S005,South,5,39,19,2,5
0.9648,0.4487,0.0456,0.1478,0.2499,50000,3,2.52,S006,West,5,34,18,2,5
0.863,0.2129,0.0467,0.2284,0.2993,50000,17,2.1,S007,East,5,45,19,2,5
0.8724,0.0565,0.0719,0.1224,0.2611,50000,9,2.05,S008,West,5,43,19,2,5
0.8578,0.2408,0.2735,0.0367,0.1521,50000,24,0.83,S009,North,5,38,20,2,5
0.8926,0.376,0.2756,0.0542,0.4053,50000,17,2.69,S010,South,5,37,19,2,5
0.8705,0.2014,0.1017,0.1299,0.0909,50000,28,1.37,S011,South,5,32,17,2,5
0.7372,0.1937,0.3682,0.3219,0.2939,50000,5,3.54,S012,West,5,49,19,2,5
0.7252,0.2544,0.1486,0.0607,0.2816,50000,15,1.96,S013,North,5,45,19,2,5
0.8423,0.2964,0.2316,0.1085,0.1076,50000,4,3.95,S014,South,5,48,20,2,5
0.8057,0.4675,0.4998,0.0369,0.0637,50000,15,1.15,S015,South,5,36,17,2,5
0.6707,0.2228,0.1708,0.3244,0.193,50000,23,2.27,S016,West,5,28,18,2,5
0.8592,0.1712,0.118,0.275,0.2034,50000,12,4.08,S017,East,5,37,18,2,5
0.9138,0.0157,0.2577,0.072,0.2694,50000,16,2.67,S018,West,5,42,19,2,5
0.621,0.2257,0.1241,0.0704,0.1545,50000,9,3.94,S019,North,5,42,20,2,5
0.9261,0.1148,0.0411,0.4436,0.1245,50000,4,2.04,S020,South,5,38,19,2,5
0.8897,0.2699,0.1859,0.1204,0.5142,50000,21,1.11,S021,South,5,40,17,2,5
0.7719,0.2741,0.3728,0.3493,0.3579,50000,16,2.5,S022,West,5,40,19,2,5
0.7071,0.3163,0.0594,0.2389,0.1208,50000,10,1.04,S023,North,5,46,20,2,5
0.8796,0.1978,0.1231,0.3522,0.1317,50000,7,4.64,S024,South,5,37,14,2,5
0.8886,0.474,0.1768,0.1683,0.3409,50000,21,0.69,S025,South,5,35,19,2,5
0.6634,0.506,0.1119,0.1732,0.1368,50000,20,3.35,S026,West,5,36,16,2,5
0.9718,0.2637,0.0904,0.2628,0.1157,50000,24,4.34,S027,East,5,33,19,2,5
0.9479,0.106,0.1366,0.1847,0.1617,50000,22,3.33,S028,West,5,36,20,2,5
0.8763,0.2563,0.1643,0.1206,0.1543,50000,17,2.75,S029,North,5,47,20,2,5
0.7882,0.0691,0.1338,0.3788,0.1066,50000,26,3.09,S030,South,5,39,18,2,5
0.8179,0.35,0.304,0.4524,0.1035,50000,13,3.05,S031,South,5,37,18,2,5
0.83,0.2043,0.3524,0.2698,0.0787,50000,26,4.61,S032,West,5,38,17,2,5
0.9371,0.0586,0.0932,0.3833,0.1502,50000,25,2.16,S033,North,5,41,19,2,5
0.7541,0.0981,0.0908,0.1705,0.168,50000,8,4.44,S034,South,5,36,19,2,5
0.6896,0.3147,0.1331,0.092,0.1642,50000,9,4.65,S035,South,5,35,20,2,5
0.9117,0.2287,0.0972,0.2927,0.2914,50000,25,4.3,S036,West,5,35,19,2,5
0.8372,0.2491,0.2135,0.1575,0.1087,50000,5,2.43,S037,East,5,44,17,2,5
0.8466,0.0966,0.2245,0.1794,0.1388,50000,3,3.48,S038,West,5,45,20,2,5
0.8693,0.1184,0.1038,0.2276,0.2903,50000,4,2.38,S039,North,5,49,20,2,5
0.8311,0.1724,0.1227,0.115,0.0396,50000,16,4.82,S040,South,5,39,18,2,5
0.8236,0.0824,0.3547,0.4128,0.2121,50000,10,0.79,S041,South,5,43,20,2,5
0.9361,0.242,0.0548,0.0629,0.247,50000,20,1.87,S042,West,5,40,19,2,5
0.558,0.2884,0.1717,0.114,0.1729,50000,23,3.34,S043,North,5,43,20,2,5
0.8967,0.1189,0.1822,0.0728,0.1677,50000,25,1.98,S044,South,5,47,18,2,5
0.8193,0.0168,0.3085,0.1002,0.0472,50000,5,3.52,S045,South,5,45,20,2,5
0.9286,0.4911,0.1305,0.0709,0.1404,50000,13,2.05,S046,West,5,46,20,2,5
0.9279,0.2962,0.0401,0.2489,0.1272,50000,18,2.22,S047,East,5,47,20,2,5
0.8256,0.0837,0.1967,0.2458,0.2914,50000,27,1.21,S048,West,5,34,17,2,5
0.9698,0.2664,0.3042,0.3462,0.137,50000,16,2.2,S049,North,5,38,18,2,5
0.6404,0.3519,0.1947,0.0395,0.0827,50000,3,2.68,S050,South,5,41,17,2,5
0.8945,0.0871,0.0436,0.1016,0.2324,50000,4,1.81,S051,South,5,49,20,2,5
0.7093,0.1397,0.3988,0.1717,0.1013,50000,22,4.64,S052,West,5,37,20,2,5
0.8471,0.0926,0.0539,0.2997,0.239,50000,24,4.52,S053,North,5,56,20,2,5
0.8719,0.1078,0.2738,0.0725,0.3253,50000,12,3.11,S054,South,5,46,19,2,5
0.7687,0.0867,0.0883,0.156,0.311,50000,16,4.84,S055,South,5,45,19,2,5
0.7431,0.0122,0.1438,0.0738,0.061,50000,18,3.8,S056,West,5,47,20,2,5
0.6902,0.3005,0.2252,0.3012,0.2479,50000,12,2.51,S057,East,5,50,20,2,5
0.9499,0.2616,0.1524,0.1252,0.3468,50000,12,4.92,S058,West,5,36,17,2,5
0.9344,0.0721,0.2179,0.1948,0.343,50000,6,1.54,S059,North,5,39,19,2,5
0.8747,0.3527,0.0747,0.0306,0.4312,50000,11,4.46,S060,South,5,43,20,2,5
0.9373,0.132,0.0584,0.2281,0.2015,50000,24,2.96,S061,South,5,46,20,2,5
0.6673,0.0538,0.3102,0.4288,0.1288,50000,19,4.9,S062,West,5,29,18,2,5
0.8922,0.2857,0.4513,0.1309,0.0514,50000,20,2.08,S063,North,5,49,19,2,5
0.8302,0.2002,0.0883,0.2309,0.2831,50000,24,3.27,S064,South,5,51,19,2,5
0.8926,0.0343,0.0846,0.249,0.3748,50000,16,3.12,S065,South,5,35,17,2,5
0.8043,0.162,0.0845,0.0568,0.1843,50000,20,2,S066,West,5,37,17,2,5
0.9086,0.1633,0.1574,0.4096,0.1504,50000,18,4.57,S067,East,5,37,17,2,5
0.8739,0.0638,0.2394,0.1842,0.0997,50000,13,4.76,S068,West,5,37,17,2,5
0.9571,0.0575,0.0509,0.1835,0.129,50000,9,4.56,S069,North,5,40,18,2,5
0.8704,0.0993,0.2013,0.1505,0.4535,50000,9,1.06,S070,South,5,38,17,2,5
0.9035,0.2467,0.1606,0.5975,0.1129,50000,12,4.54,S071,South,5,45,20,2,5
0.6617,0.2466,0.4399,0.2262,0.13,50000,26,1.78,S072,West,5,33,17,2,5
0.599,0.3079,0.4379,0.1974,0.2029,50000,13,2.63,S073,North,5,38,19,2,5
0.953,0.1335,0.3441,0.1725,0.4062,50000,12,1.4,S074,South,5,45,19,2,5
0.9123,0.1137,0.2313,0.1111,0.082,50000,3,3.32,S075,South,5,35,16,2,5
0.8475,0.2604,0.0485,0.1067,0.1411,50000,5,3.07,S076,West,5,47,20,2,5
