supplier_id,date,weather_signal,congestion_signal,demand_pressure,observed_delay_fraction,onset_today,active_disruption
S001,2027-01-01,0.6024210032,0.3250014899,0.4437258557,0.1,0,0
S001,2027-01-02,0.5546633824,0.3346501896,0.4530442672,0.15,0,0
S001,2027-01-03,0.5281679996,0.3014312293,0.4102966304,0.1,0,0
S001,2027-01-04,0.6190686008,0.241588382,0.4629031334,0.15,0,0
S001,2027-01-05,0.5336158463,0.08515538338,0.4862876931,0.1,0,0
S001,2027-01-06,0.6114420009,0.04775298085,0.5683813185,0.15,0,0
S001,2027-01-07,0.6094126931,0.1397604513,0.5401042493,0.15,0,0
S001,2027-01-08,0.4842402658,0.195054868,0.470578591,0.1,0,0
S001,2027-01-09,0.5163656424,0.1947351872,0.4690287632,0.1,0,0
S001,2027-01-10,0.5902050919,0.1057835491,0.436301358,0.25,0,0
S001,2027-01-11,0.5111323487,0.115390419,0.5544253313,0.15,0,0
S001,2027-01-12,0.4696023588,0.1455362886,0.5335425181,0.2,0,0
S001,2027-01-13,0.4412877414,0.09450202591,0.5065588316,0.15,0,0
S001,2027-01-14,0.4177104813,0.1860071339,0.4071211742,0.1,0,0
S001,2027-01-15,0.5170402237,0.1868560883,0.4908277911,0.25,0,0
S001,2027-01-16,0.5598044243,0.2589984772,0.3930458639,0.15,0,0
S001,2027-01-17,0.6152326798,0.4437326588,0.411706058,0.2,0,0
S001,2027-01-18,0.6170290843,0.523587707,0.4271792184,0.2,0,0
S001,2027-01-19,0.6447358032,0.3522796787,0.4869663495,0.1,0,0
S001,2027-01-20,0.6647136801,0.412506845,0.5115610684,0.35,0,0
S001,2027-01-21,0.6703935587,0.4061444663,0.3984041704,0.3,0,0
S001,2027-01-22,0.7182524738,0.3997260417,0.3289712219,0.2,0,0
S001,2027-01-23,0.5799651364,0.4415492521,0.3034943678,0.45,0,0
S001,2027-01-24,0.4864887188,0.399417915,0.3273192902,0.15,0,0
S001,2027-01-25,0.4319097827,0.4248881712,0.3107130927,0.2,0,0
S001,2027-01-26,0.3990950748,0.3340549491,0.328851022,0.15,0,0
S001,2027-01-27,0.4873471382,0.3325785434,0.2936350637,0.25,0,0
S001,2027-01-28,0.4523828493,0.2803896592,0.4522618907,0.1,0,0
S001,2027-01-29,0.3999848005,0.2209241754,0.5493602498,0.2,0,0
S001,2027-01-30,0.3244715144,0.2236539382,0.4034573566,0.15,0,0
S001,2027-01-31,0.3444160475,0.1481190418,0.3890629784,0.3,0,0
S001,2027-02-01,0.315181619,0.06169784849,0.2702907736,0.1,0,0
S001,2027-02-02,0.3222762784,0.1011541359,0.3132972203,0.05,0,0
S001,2027-02-03,0.3708453981,0.1455976265,0.3253388978,0.15,0,0
S001,2027-02-04,0.3066242858,0.216015493,0.3715909455,0.1,0,0
S001,2027-02-05,0.3269170452,0.2015804674,0.2127717196,0.2,0,0
S001,2027-02-06,0.2995832164,0.2326351044,0.1373922822,0.1,0,0
S001,2027-02-07,0.2472853133,0.3770618557,0.1611614651,0.1,0,0
S001,2027-02-08,0.2473284347,0.3078733423,0.08077317366,0.05,0,0
S001,2027-02-09,0.3826032237,0.2618760708,0.2411329687,0.25,0,0
S001,2027-02-10,0.4757130754,0.2282645878,0.3286231368,0.05,0,0
S001,2027-02-11,0.3618109547,0.2007943933,0.4613825995,0.2,0,0
S001,2027-02-12,0.4383372561,0.1424213042,0.4731691021,0.2,0,0
S001,2027-02-13,0.2895466124,0.2790076494,0.3975811026,0.15,0,0
S001,2027-02-14,0.3243818344,0.1500517822,0.4756750098,0.15,0,0
S001,2027-02-15,0.3430258877,0.3114273899,0.3670890202,0.05,0,0
S001,2027-02-16,0.4174019785,0.3220163329,0.4361358069,0.15,0,0
S001,2027-02-17,0.4365002002,0.3470039601,0.4906817205,0.15,0,0
