supplier_id,onset_date,end_date_exclusive,duration_days
S001,2027-04-24,2027-04-28,4
S001,2027-05-20,2027-05-23,3
S001,2027-06-17,2027-06-19,2
S001,2027-06-24,2027-06-28,4
S001,2027-07-18,2027-07-22,4
S001,2027-08-08,2027-08-10,2
S001,2027-10-07,2027-10-09,2
S001,2027-10-09,2027-10-11,2
S001,2028-07-26,2028-07-31,5
S001,2028-08-12,2028-08-16,4
S001,2028-10-08,2028-10-13,5
S001,2028-11-08,2028-11-12,4
S001,2028-12-30,2029-01-03,4
S002,2027-05-24,2027-05-28,4
S002,2027-09-07,2027-09-11,4
S002,2027-09-13,2027-09-15,2
S002,2027-10-01,2027-10-04,3
S002,2027-10-09,2027-10-11,2
S002,2027-11-10,2027-11-14,4
S002,2027-11-25,2027-11-30,5
S002,2028-03-27,2028-04-01,5
S002,2028-05-27,2028-05-30,3
S002,2028-06-01,2028-06-05,4
S002,2028-06-18,2028-06-22,4
S003,2027-02-22,2027-02-27,5
S003,2027-03-22,2027-03-25,3
S003,2027-04-18,2027-04-22,4
S003,2027-05-13,2027-05-15,2
S003,2028-02-10,2028-02-14,4
S003,2028-05-27,2028-05-31,4
S003,2028-08-22,2028-08-26,4
S003,2028-10-01,2028-10-04,3
S003,2028-11-09,2028-11-11,2
S004,2027-01-18,2027-01-21,3
S004,2027-02-10,2027-02-15,5
S004,2027-02-18,2027-02-23,5
S004,2027-10-17,2027-10-20,3
S004,2028-06-21,2028-06-24,3
S004,2028-07-08,2028-07-11,3
S005,2027-05-19,2027-05-21,2
S005,2027-10-19,2027-10-24,5
S005,2028-03-17,2028-03-20,3
S005,2028-05-12,2028-05-15,3
S005,2028-05-27,2028-05-30,3
S005,2028-07-08,2028-07-11,3
S005,2028-09-28,2028-09-30,2
S005,2028-12-20,2028-12-24,4
S006,2027-01-08,2027-01-12,4
S006,2027-01-19,2027-01-23,4
S006,2027-01-30,2027-02-01,2
S006,2027-02-20,2027-02-22,2
S006,2027-05-03,2027-05-05,2
S006,2027-05-05,2027-05-08,3
S006,2027-05-24,2027-05-28,4
S006,2028-01-18,2028-01-23,5
S006,2028-02-05,2028-02-09,4
S006,2028-04-12,2028-04-14,2
S006,2028-04-21,2028-04-26,5
S006,2028-05-25,2028-05-27,2
S006,2028-06-05,2028-06-10,5
S006,2028-06-11,2028-06-16,5
S006,2028-06-17,2028-06-21,4
S006,2028-07-23,2028-07-28,5
S006,2028-08-12,2028-08-16,4
S006,2028-09-21,2028-09-26,5
S006,2028-11-18,2028-11-20,2
S006,2028-12-06,2028-12-10,4
S007,2027-04-24,2027-04-27,3
S007,2027-05-29,2027-06-02,4
S007,2027-06-03,2027-06-05,2
S007,2027-06-06,2027-06-10,4
S007,2027-06-13,2027-06-15,2
S007,2027-08-28,2027-08-31,3
S007,2028-01-12,2028-01-17,5
S007,2028-01-25,2028-01-27,2
S007,2028-03-25,2028-03-29,4
S007,2028-11-14,2028-11-18,4
S008,2027-02-07,2027-02-11,4
S008,2027-02-23,2027-02-25,2
S008,2027-04-07,2027-04-12,5
S008,2027-05-16,2027-05-20,4
S008,2027-07-26,2027-07-31,5
S008,2027-10-04,2027-10-08,4
S008,2028-10-04,2028-10-07,3
S009,2027-02-18,2027-02-23,5
S009,2027-05-07,2027-05-09,2
S009,2027-07-22,2027-07-24,2
S009,2027-08-14,2027-08-18,4
S009,2027-10-02,2027-10-04,2
S009,2028-01-14,2028-01-19,5
S009,2028-02-12,2028-02-14,2
S009,2028-02-22,2028-02-24,2
S009,2028-04-15,2028-04-18,3
S009,2028-07-17,2028-07-21,4
S009,2028-08-26,2028-08-29,3
S009,2028-10-26,2028-10-30,4
S009,2028-11-10,2028-11-15,5
S010,2027-01-10,2027-01-14,4
S010,2027-03-10,2027-03-12,2
S010,2027-03-22,2027-03-24,2
S010,2027-04-01,2027-04-04,3
S010,2027-10-14,2027-10-17,3
S010,2027-10-28,2027-10-30,2
S010,2027-11-09,2027-11-13,4
S010,2028-01-21,2028-01-23,2
S010,2028-06-14,2028-06-18,4
S010,2028-07-07,2028-07-11,4
S010,2028-07-15,2028-07-18,3
S011,2027-05-09,2027-05-12,3
S011,2028-09-22,2028-09-27,5
S012,2027-02-11,2027-02-15,4
S012,2027-05-13,2027-05-16,3
S012,2027-08-18,2027-08-22,4
S012,2027-10-23,2027-10-25,2
S012,2027-11-25,2027-11-28,3
S012,2028-01-27,2028-01-30,3
S012,2028-02-11,2028-02-14,3
S012,2028-04-18,2028-04-21,3
S012,2028-04-26,2028-05-01,5
S012,2028-05-29,2028-06-02,4
S012,2028-06-25,2028-06-28,3
S013,2027-04-24,2027-04-26,2
S013,2027-05-10,2027-05-13,3
S013,2027-07-31,2027-08-04,4
S013,2028-01-21,2028-01-25,4
S013,2028-02-08,2028-02-11,3
S013,2028-03-05,2028-03-08,3
S013,2028-03-30,2028-04-01,2
S013,2028-07-11,2028-07-15,4
S013,2028-10-14,2028-10-18,4
S013,2028-11-21,2028-11-25,4
S014,2027-01-01,2027-01-03,2
S014,2027-04-21,2027-04-26,5
S014,2028-05-09,2028-05-13,4
S014,2028-06-12,2028-06-15,3
S014,2028-10-22,2028-10-26,4
S014,2028-10-27,2028-11-01,5
S014,2028-12-06,2028-12-11,5
S015,2027-02-13,2027-02-18,5
S015,2027-03-15,2027-03-20,5
S015,2027-04-27,2027-05-01,4
S015,2027-06-19,2027-06-21,2
S015,2027-07-18,2027-07-22,4
S015,2027-09-15,2027-09-20,5
S015,2028-02-07,2028-02-11,4
S015,2028-02-11,2028-02-13,2
S015,2028-04-24,2028-04-26,2
S015,2028-04-29,2028-05-02,3
S015,2028-05-22,2028-05-27,5
S015,2028-05-28,2028-06-02,5
S015,2028-06-02,2028-06-04,2
S015,2028-10-11,2028-10-16,5
S016,2027-01-03,2027-01-07,4
S016,2027-01-28,2027-02-01,4
S016,2027-04-29,2027-05-04,5
S016,2027-07-09,2027-07-12,3
S016,2027-08-03,2027-08-06,3
S016,2028-02-29,2028-03-03,3
S016,2028-04-15,2028-04-17,2
S016,2028-04-25,2028-04-29,4
S016,2028-04-29,2028-05-02,3
S016,2028-07-28,2028-07-31,3
S016,2028-08-07,2028-08-10,3
S016,2028-10-15,2028-10-18,3
S016,2028-12-02,2028-12-07,5
S017,2027-01-08,2027-01-12,4
S017,2027-03-29,2027-04-01,3
S017,2027-08-15,2027-08-17,2
S017,2028-03-20,2028-03-24,4
S017,2028-04-13,2028-04-15,2
S017,2028-04-23,2028-04-26,3
S017,2028-05-17,2028-05-21,4
S017,2028-05-31,2028-06-02,2
S017,2028-07-05,2028-07-08,3
S017,2028-11-26,2028-11-28,2
S018,2027-03-30,2027-04-03,4
S018,2027-05-10,2027-05-14,4
S018,2027-08-06,2027-08-08,2
S018,2027-09-28,2027-10-01,3
S018,2028-02-27,2028-02-29,2
S019,2027-03-27,2027-04-01,5
S019,2027-04-30,2027-05-05,5
S019,2027-05-21,2027-05-23,2
S019,2027-07-14,2027-07-16,2
S019,2027-11-04,2027-11-07,3
S019,2027-11-24,2027-11-28,4
S019,2028-04-15,2028-04-19,4
S019,2028-04-27,2028-05-02,5
S019,2028-07-09,2028-07-14,5
S019,2028-08-19,2028-08-22,3
S019,2028-08-26,2028-08-31,5
S019,2028-10-17,2028-10-19,2
S020,2028-10-04,2028-10-06,2
S021,2027-05-27,2027-05-30,3
S021,2027-06-22,2027-06-26,4
S021,2027-07-18,2027-07-21,3
S021,2027-10-01,2027-10-06,5
S021,2028-02-21,2028-02-25,4
S021,2028-08-15,2028-08-19,4
S021,2028-11-27,2028-12-01,4
S022,2027-02-21,2027-02-23,2
S022,2027-02-28,2027-03-02,2
S022,2027-10-11,2027-10-16,5
S022,2028-04-27,2028-04-29,2
S022,2028-05-14,2028-05-16,2
S022,2028-05-21,2028-05-25,4
S022,2028-06-09,2028-06-13,4
S022,2028-06-26,2028-07-01,5
S022,2028-07-19,2028-07-21,2
S022,2028-08-22,2028-08-25,3
S022,2028-10-03,2028-10-08,5
S022,2028-11-03,2028-11-08,5
S022,2028-11-19,2028-11-22,3
S022,2028-12-02,2028-12-05,3
S023,2027-01-29,2027-02-01,3
S023,2027-03-13,2027-03-17,4
S023,2027-04-03,2027-04-06,3
S023,2027-04-19,2027-04-22,3
S023,2027-04-25,2027-04-29,4
S023,2027-05-09,2027-05-14,5
S023,2027-05-14,2027-05-19,5
S023,2027-05-24,2027-05-26,2
S023,2027-06-21,2027-06-23,2
S023,2027-07-02,2027-07-06,4
S023,2027-07-15,2027-07-20,5
S023,2027-07-20,2027-07-25,5
S023,2027-08-06,2027-08-08,2
S023,2027-08-29,2027-08-31,2
S023,2027-10-11,2027-10-13,2
S023,2027-11-16,2027-11-20,4
S023,2028-02-22,2028-02-24,2
S024,2027-05-22,2027-05-24,2
S024,2027-08-23,2027-08-27,4
S024,2028-05-27,2028-05-30,3
S024,2028-10-13,2028-10-15,2
S024,2028-10-18,2028-10-21,3
S024,2028-10-21,2028-10-26,5
S024,2028-10-30,2028-11-01,2
S025,2027-03-19,2027-03-24,5
S025,2027-06-04,2027-06-08,4
S025,2027-06-29,2027-07-01,2
S025,2028-02-11,2028-02-13,2
S025,2028-02-16,2028-02-21,5
S025,2028-03-08,2028-03-11,3
S025,2028-08-14,2028-08-18,4
S025,2028-08-27,2028-08-31,4
S025,2028-09-17,2028-09-19,2
S025,2028-10-03,2028-10-08,5
S026,2027-02-03,2027-02-05,2
S026,2027-05-01,2027-05-06,5
S026,2027-05-21,2027-05-26,5
S026,2027-08-16,2027-08-18,2
S026,2027-11-02,2027-11-04,2
S026,2028-01-27,2028-01-30,3
S026,2028-02-18,2028-02-23,5
S026,2028-04-15,2028-04-17,2
S026,2028-06-03,2028-06-07,4
S026,2028-08-01,2028-08-03,2
S026,2028-08-03,2028-08-08,5
S026,2028-08-10,2028-08-15,5
S026,2028-08-23,2028-08-25,2
S026,2028-08-25,2028-08-29,4
S026,2028-09-03,2028-09-07,4
S026,2028-09-15,2028-09-18,3
S026,2028-10-31,2028-11-04,4
S026,2028-11-15,2028-11-20,5
S027,2027-03-05,2027-03-10,5
S027,2027-08-07,2027-08-11,4
S027,2027-08-12,2027-08-14,2
S027,2027-10-12,2027-10-16,4
S027,2028-01-15,2028-01-17,2
S028,2027-01-16,2027-01-20,4
S028,2027-02-07,2027-02-12,5
S028,2027-05-03,2027-05-06,3
S028,2027-08-22,2027-08-24,2
S028,2028-07-09,2028-07-12,3
S028,2028-09-24,2028-09-29,5
S028,2028-11-27,2028-11-30,3
S029,2027-03-22,2027-03-25,3
S029,2027-04-08,2027-04-10,2
S029,2027-08-26,2027-08-30,4
S029,2027-11-02,2027-11-04,2
S029,2028-07-03,2028-07-06,3
S030,2027-02-24,2027-02-28,4
S030,2027-03-05,2027-03-10,5
S030,2027-07-24,2027-07-29,5
S030,2028-02-27,2028-03-01,3
S030,2028-04-16,2028-04-20,4
S030,2028-04-23,2028-04-27,4
S030,2028-08-12,2028-08-16,4
S030,2028-08-20,2028-08-23,3
S031,2027-02-05,2027-02-08,3
S031,2027-03-21,2027-03-25,4
S031,2027-04-02,2027-04-05,3
S031,2027-04-29,2027-05-02,3
S031,2027-07-28,2027-08-01,4
S031,2027-08-23,2027-08-28,5
S031,2028-07-12,2028-07-17,5
S031,2028-10-09,2028-10-12,3
S031,2028-11-13,2028-11-16,3
S031,2028-12-06,2028-12-10,4
S031,2028-12-10,2028-12-15,5
S032,2027-01-31,2027-02-02,2
S032,2027-07-22,2027-07-25,3
S032,2027-08-08,2027-08-13,5
S032,2027-08-30,2027-09-03,4
S032,2027-10-08,2027-10-10,2
S032,2028-05-13,2028-05-17,4
S032,2028-09-14,2028-09-19,5
S033,2027-05-15,2027-05-17,2
S033,2027-09-24,2027-09-29,5
S033,2028-04-14,2028-04-19,5
S033,2028-11-05,2028-11-07,2
S034,2027-03-10,2027-03-12,2
S034,2027-07-18,2027-07-22,4
S034,2027-09-21,2027-09-25,4
S034,2027-10-02,2027-10-05,3
S034,2027-11-01,2027-11-03,2
S034,2027-11-09,2027-11-11,2
S034,2028-01-03,2028-01-08,5
S034,2028-04-26,2028-04-30,4
S034,2028-05-19,2028-05-23,4
S035,2027-01-05,2027-01-10,5
S035,2027-06-18,2027-06-23,5
S035,2027-08-20,2027-08-25,5
S035,2027-09-03,2027-09-08,5
S035,2027-12-04,2027-12-07,3
S035,2028-01-19,2028-01-22,3
S035,2028-04-30,2028-05-02,2
S035,2028-08-14,2028-08-18,4
S035,2028-08-26,2028-08-30,4
S035,2028-09-23,2028-09-28,5
S035,2028-10-08,2028-10-12,4
S035,2028-10-16,2028-10-20,4
S035,2028-10-22,2028-10-24,2
S035,2028-12-08,2028-12-11,3
S036,2027-01-30,2027-02-04,5
S036,2027-06-30,2027-07-05,5
S036,2027-07-16,2027-07-20,4
S036,2027-10-26,2027-10-29,3
S036,2027-12-06,2027-12-08,2
S036,2027-12-25,2027-12-30,5
S036,2028-02-09,2028-02-13,4
S036,2028-07-23,2028-07-27,4
S036,2028-08-03,2028-08-06,3
S036,2028-08-06,2028-08-09,3
S036,2028-09-02,2028-09-06,4
S036,2028-09-14,2028-09-18,4
S036,2028-11-30,2028-12-03,3
S037,2027-03-02,2027-03-04,2
S037,2027-04-03,2027-04-05,2
S037,2027-10-28,2027-10-30,2
S037,2027-11-05,2027-11-10,5
S037,2028-02-03,2028-02-05,2
S037,2028-03-22,2028-03-24,2
S037,2028-03-24,2028-03-26,2
S037,2028-03-31,2028-04-04,4
S037,2028-04-20,2028-04-24,4
S037,2028-04-25,2028-04-30,5
S037,2028-05-20,2028-05-24,4
S037,2028-07-03,2028-07-08,5
S037,2028-07-29,2028-08-03,5
S037,2028-11-10,2028-11-15,5
S038,2027-03-17,2027-03-19,2
S038,2027-03-20,2027-03-24,4
S038,2027-03-26,2027-03-29,3
S038,2027-05-11,2027-05-14,3
S038,2028-04-07,2028-04-09,2
S038,2028-05-06,2028-05-10,4
S038,2028-07-06,2028-07-09,3
S038,2028-12-17,2028-12-22,5
S039,2027-01-13,2027-01-17,4
S039,2027-02-12,2027-02-14,2
S039,2027-05-24,2027-05-29,5
S039,2027-08-02,2027-08-07,5
S039,2027-11-01,2027-11-06,5
S039,2027-12-07,2027-12-09,2
S039,2027-12-29,2028-01-03,5
S039,2028-05-25,2028-05-30,5
S039,2028-07-23,2028-07-26,3
S039,2028-09-13,2028-09-18,5
S039,2028-10-06,2028-10-10,4
S040,2027-01-25,2027-01-27,2
S040,2027-03-02,2027-03-05,3
