supplier_id,onset_date,end_date_exclusive,duration_days
S001,2029-07-03,2029-07-07,4
S001,2029-08-06,2029-08-10,4
S001,2029-11-13,2029-11-16,3
S002,2029-10-18,2029-10-20,2
S003,2029-07-31,2029-08-03,3
S003,2029-08-18,2029-08-22,4
S003,2029-08-30,2029-09-01,2
S003,2029-09-03,2029-09-05,2
S003,2029-09-29,2029-10-04,5
S004,2029-10-16,2029-10-18,2
S005,2029-10-05,2029-10-10,5
S005,2029-12-20,2029-12-24,4
S006,2029-12-17,2029-12-20,3
S007,2029-07-11,2029-07-15,4
S008,2029-10-02,2029-10-06,4
S008,2029-10-11,2029-10-15,4
S008,2029-10-15,2029-10-17,2
S008,2029-11-21,2029-11-25,4
S008,2029-12-01,2029-12-05,4
S009,2029-07-10,2029-07-14,4
S009,2029-08-04,2029-08-09,5
S009,2029-09-26,2029-09-29,3
S010,2029-07-17,2029-07-22,5
S010,2029-08-10,2029-08-15,5
S010,2029-09-07,2029-09-12,5
S010,2029-10-06,2029-10-09,3
S010,2029-10-16,2029-10-21,5
S012,2029-09-12,2029-09-14,2
S012,2029-10-06,2029-10-08,2
S012,2029-10-08,2029-10-11,3
S012,2029-12-07,2029-12-12,5
S013,2029-07-08,2029-07-13,5
S013,2029-09-13,2029-09-16,3
S013,2029-12-14,2029-12-16,2
S014,2029-09-04,2029-09-09,5
S014,2029-09-28,2029-09-30,2
S015,2029-08-25,2029-08-27,2
S015,2029-09-09,2029-09-12,3
S015,2029-10-05,2029-10-09,4
S016,2029-10-09,2029-10-14,5
S017,2029-08-21,2029-08-24,3
S017,2029-12-24,2029-12-26,2
S018,2029-07-11,2029-07-16,5
S018,2029-08-14,2029-08-17,3
S019,2029-07-21,2029-07-26,5
S019,2029-08-27,2029-09-01,5
S019,2029-12-24,2029-12-28,4
S020,2029-08-29,2029-08-31,2
S020,2029-11-11,2029-11-13,2
S020,2029-12-08,2029-12-13,5
S022,2029-07-05,2029-07-09,4
S022,2029-07-21,2029-07-24,3
S022,2029-09-05,2029-09-10,5
S022,2029-11-25,2029-11-28,3
S023,2029-07-03,2029-07-08,5
S024,2029-07-22,2029-07-25,3
S024,2029-08-18,2029-08-23,5
