supplier_id,supplier_name,tier,country,region,latitude,longitude,component_capacity,unit_cost,lead_time_days,lead_time_std,reliability_score,quality_rate,on_time_rate,financial_risk,geopolitical_risk,weather_risk,cyber_risk,backup_available
S001,Zenith Components 001,1,India,South,12.97,77.59,50000,1.0,18,4.54,0.7968,0.8192,0.7,0.5081,0.0046,0.4261,0.1713,True
S002,Orion Components 002,3,India,West,19.08,72.88,50000,1.45,18,0.99,0.9465,0.8944,0.8961,0.3759,0.0972,0.3208,0.1143,True
S003,Nova Components 003,2,India,North,28.61,77.21,50000,1.9,12,0.87,0.9865,0.999,0.9419,0.281,0.3404,0.3049,0.0553,True
S004,Nova Components 004,1,India,South,13.08,80.27,50000,2.35,27,1.52,0.9392,0.977,0.8933,0.1608,0.0603,0.1835,0.1064,True
S005,Orion Components 005,2,India,South,17.39,78.49,50000,2.8,3,4.2,0.781,0.7916,0.7322,0.2229,0.0773,0.186,0.0993,True
S006,Vertex Components 006,3,India,West,18.52,73.86,50000,3.25,3,2.52,0.9648,0.9942,0.913,0.4487,0.0456,0.1478,0.2499,True
S007,Zenith Components 007,3,India,East,22.57,88.36,50000,3.7,17,2.1,0.863,0.8412,0.7913,0.2129,0.0467,0.2284,0.2993,True
S008,Nova Components 008,1,India,West,23.02,72.57,50000,4.15,9,2.05,0.8724,0.8272,0.8974,0.0565,0.0719,0.1224,0.2611,True
S009,Orion Components 009,1,India,North,26.91,75.79,50000,4.6,24,0.83,0.8578,0.861,0.8,0.2408,0.2735,0.0367,0.1521,True
S010,Zenith Components 010,1,India,South,11.02,76.96,50000,5.05,17,2.69,0.8926,0.8633,0.8444,0.376,0.2756,0.0542,0.4053,True
S011,Apex Components 011,3,India,South,12.975000000000001,77.595,50000,5.5,28,1.37,0.8705,0.8935,0.8807,0.2014,0.1017,0.1299,0.0909,True
S012,Vertex Components 012,1,India,West,19.084999999999997,72.88499999999999,50000,5.95,5,3.54,0.7372,0.7764,0.706,0.1937,0.3682,0.3219,0.2939,True
