component_id,component_name,category,supplier_id,unit_cost,lead_time_days,minimum_order_qty,maximum_supply,criticality_score,substitutability_score,safety_stock_units,shelf_life_days,hazardous_flag
C001,Processor Module 001,Processor,S001,1.0,18,100,10000,0.61,0.3924,7600,730,False
C002,Connectivity Module 002,Connectivity,S002,1.45,18,100,10000,0.3784,0.4065,2700,1095,False
C003,Sensor Module 003,Sensor,S003,1.9,12,1000,10000,0.6311,0.5696,2900,1825,False
C004,Connector Module 004,Connector,S004,2.35,27,250,10000,0.2143,0.6188,4000,1825,False
C005,Processor Module 005,Processor,S005,2.8,3,100,10000,0.1879,0.635,4300,1825,False
C006,Camera Module 006,Camera,S006,3.25,3,250,10000,0.4209,0.2925,7500,1825,False
C007,Connectivity Module 007,Connectivity,S007,3.7,17,100,10000,0.8347,0.4396,1900,730,False
C008,Camera Module 008,Camera,S008,4.15,9,500,10000,0.5446,0.354,2500,1095,False
C009,Connectivity Module 009,Connectivity,S009,4.6,24,250,10000,0.7143,0.3122,7700,730,False
C010,Battery Module 010,Battery,S010,5.05,17,50,10000,0.685,0.6034,3000,1825,True
C011,Chassis Module 011,Chassis,S011,5.5,28,500,10000,0.6163,0.5524,7500,1095,False
C012,Battery Module 012,Battery,S012,5.95,5,250,10000,0.8495,0.484,6100,365,True
C013,Display Module 013,Display,S013,6.4,15,1000,10000,0.6996,0.0549,3500,1095,False
C014,Sensor Module 014,Sensor,S014,6.85,4,1000,10000,0.5587,0.2882,1400,730,False
C015,Sensor Module 015,Sensor,S015,7.3,15,1000,10000,0.8467,0.2155,1900,1095,False
C016,Battery Module 016,Battery,S016,7.75,23,50,10000,0.578,0.2403,5100,1825,True
C017,Chassis Module 017,Chassis,S017,8.2,12,100,10000,0.6579,0.7291,2800,1095,False
C018,Memory Module 018,Memory,S018,8.65,16,100,10000,0.5179,0.4974,2400,730,False
C019,Sensor Module 019,Sensor,S019,9.1,9,250,10000,0.6609,0.1975,800,1825,False
C020,Memory Module 020,Memory,S020,9.55,4,1000,10000,0.944,0.1595,1900,1825,False
C021,Chassis Module 021,Chassis,S021,10.0,21,250,10000,0.4614,0.3072,3500,365,False
C022,Memory Module 022,Memory,S022,10.45,16,50,10000,0.7028,0.3783,7500,1825,False
C023,Processor Module 023,Processor,S023,10.9,10,500,10000,0.5276,0.0854,1100,1095,False
C024,PCB Module 024,PCB,S024,11.35,7,500,10000,0.6249,0.7939,1900,1095,False
C025,Sensor Module 025,Sensor,S025,11.8,21,1000,10000,0.5365,0.397,3400,1095,False
C026,Battery Module 026,Battery,S026,12.25,20,250,10000,0.3908,0.1832,7400,1825,True
C027,Connectivity Module 027,Connectivity,S027,12.7,24,50,10000,0.5916,0.4013,6200,1095,False
C028,Memory Module 028,Memory,S028,13.15,22,100,10000,0.3037,0.4948,6400,1095,False
C029,Connector Module 029,Connector,S029,13.6,17,500,10000,0.6906,0.2992,4100,1095,False
C030,Connector Module 030,Connector,S030,14.05,26,50,10000,0.4591,0.3346,1100,365,False
C031,Battery Module 031,Battery,S031,14.5,13,250,10000,0.7422,0.5808,3800,1825,True
C032,Sensor Module 032,Sensor,S032,14.95,26,50,10000,0.7035,0.0856,1600,365,False
C033,Display Module 033,Display,S033,15.4,25,500,10000,0.7815,0.2475,4400,1825,False
C034,Connectivity Module 034,Connectivity,S034,15.85,8,250,10000,0.5176,0.3681,6200,1095,False
C035,Connector Module 035,Connector,S035,16.3,9,50,10000,0.4402,0.7885,2400,1825,False
C036,Connectivity Module 036,Connectivity,S036,16.75,25,100,10000,0.683,0.1587,5500,365,False
C037,Camera Module 037,Camera,S037,17.2,5,500,10000,0.4743,0.4842,4000,1825,False
C038,Chassis Module 038,Chassis,S038,17.65,3,500,10000,0.6401,0.8174,2500,1095,False
C039,Sensor Module 039,Sensor,S039,18.1,4,1000,10000,0.3913,0.2594,6900,1825,False
C040,Connector Module 040,Connector,S040,18.55,16,250,10000,0.7764,0.7953,6600,365,False
C041,Connectivity Module 041,Connectivity,S041,19.0,10,50,10000,0.2972,0.3425,5600,365,False
C042,Sensor Module 042,Sensor,S042,19.45,20,500,10000,0.4772,0.28,1900,1825,False
C043,Battery Module 043,Battery,S043,19.9,23,50,10000,0.4924,0.6187,4500,730,True
C044,Camera Module 044,Camera,S044,20.35,25,100,10000,0.3924,0.6319,2600,1825,False
C045,Display Module 045,Display,S045,20.8,5,100,10000,0.8885,0.2658,3200,365,False
C046,Connector Module 046,Connector,S046,21.25,13,100,10000,0.7599,0.5073,1100,1095,False
C047,Connector Module 047,Connector,S047,21.7,18,1000,10000,0.6959,0.6377,3700,365,False
C048,Memory Module 048,Memory,S048,22.15,27,50,10000,0.3507,0.0836,4900,1095,False
C049,PCB Module 049,PCB,S049,22.6,16,1000,10000,0.6209,0.4016,4000,1095,False
C050,Processor Module 050,Processor,S050,23.05,3,1000,10000,0.2831,0.4425,800,1095,False
C051,Connectivity Module 051,Connectivity,S051,1.0,4,250,10000,0.4982,0.1789,6900,1825,False
C052,Memory Module 052,Memory,S052,1.45,22,100,10000,0.4272,0.292,4900,365,False
C053,Battery Module 053,Battery,S053,1.9,24,50,10000,0.7028,0.1494,6100,365,True
C054,Sensor Module 054,Sensor,S054,2.35,12,250,10000,0.5585,0.3152,1300,1825,False
C055,Processor Module 055,Processor,S055,2.8,16,500,10000,0.918,0.4966,5700,365,False
C056,Sensor Module 056,Sensor,S056,3.25,18,50,10000,0.7974,0.1487,6100,730,False
C057,Chassis Module 057,Chassis,S057,3.7,12,100,10000,0.3372,0.1642,3300,730,False
C058,Display Module 058,Display,S058,4.15,12,250,10000,0.8614,0.2408,2100,730,False
C059,Chassis Module 059,Chassis,S059,4.6,6,100,10000,0.5825,0.7942,4400,730,False
C060,Chassis Module 060,Chassis,S060,5.05,11,500,10000,0.7774,0.1101,7200,1095,False
C061,Processor Module 061,Processor,S061,5.5,24,1000,10000,0.8414,0.2766,6800,1825,False
C062,Battery Module 062,Battery,S062,5.95,19,1000,10000,0.4153,0.4814,3500,730,True
C063,Battery Module 063,Battery,S063,6.4,20,100,10000,0.5532,0.1468,2600,1825,True
C064,Chassis Module 064,Chassis,S064,6.85,24,100,10000,0.5735,0.3166,2500,1825,False
C065,Display Module 065,Display,S065,7.3,16,100,10000,0.5964,0.1393,6100,1095,False
C066,Camera Module 066,Camera,S066,7.75,20,250,10000,0.2998,0.2357,3700,730,False
C067,Processor Module 067,Processor,S067,8.2,18,500,10000,0.3554,0.304,3700,1095,False
C068,Processor Module 068,Processor,S068,8.65,13,100,10000,0.6014,0.0732,4400,730,False
C069,Chassis Module 069,Chassis,S069,9.1,9,1000,10000,0.823,0.7647,3500,365,False
C070,Memory Module 070,Memory,S070,9.55,9,100,10000,0.6949,0.2714,2600,730,False
C071,Camera Module 071,Camera,S071,10.0,12,250,10000,0.6562,0.2867,7200,365,False
C072,Processor Module 072,Processor,S072,10.45,26,500,10000,0.3305,0.4403,7300,1825,False
C073,Display Module 073,Display,S073,10.9,13,100,10000,0.3968,0.2201,7100,1825,False
C074,Memory Module 074,Memory,S074,11.35,12,100,10000,0.7444,0.2394,2200,1825,False
C075,Connector Module 075,Connector,S075,11.8,3,500,10000,0.4559,0.1745,1800,1825,False
C076,PCB Module 076,PCB,S076,12.25,5,250,10000,0.5196,0.5902,3900,1095,False
C077,Sensor Module 077,Sensor,S077,12.7,11,500,10000,0.6821,0.4137,2500,1095,False
C078,Connector Module 078,Connector,S078,13.15,10,1000,10000,0.6766,0.3348,4700,1825,False
C079,Connectivity Module 079,Connectivity,S079,13.6,3,250,10000,0.515,0.7648,7500,730,False
C080,Connector Module 080,Connector,S080,14.05,18,1000,10000,0.9051,0.5028,7100,1095,False
C081,Display Module 081,Display,S081,14.5,21,1000,10000,0.4716,0.4984,1200,730,False
C082,Battery Module 082,Battery,S082,14.95,4,500,10000,0.7893,0.4627,3900,1825,True
C083,Processor Module 083,Processor,S083,15.4,10,50,10000,0.6866,0.6948,1600,1095,False
C084,Display Module 084,Display,S084,15.85,17,250,10000,0.237,0.321,2000,365,False
C085,Camera Module 085,Camera,S085,16.3,3,250,10000,0.7955,0.5942,5900,1825,False
C086,Memory Module 086,Memory,S086,16.75,13,250,10000,0.4399,0.4422,4700,1095,False
C087,Memory Module 087,Memory,S087,17.2,15,500,10000,0.4711,0.7134,2200,730,False
C088,Battery Module 088,Battery,S088,17.65,28,100,10000,0.8759,0.5667,5200,365,True
C089,Display Module 089,Display,S089,18.1,18,1000,10000,0.3079,0.3819,7100,365,False
C090,Chassis Module 090,Chassis,S090,18.55,24,500,10000,0.1748,0.2398,6100,730,False
C091,Connector Module 091,Connector,S091,19.0,28,250,10000,0.7136,0.2744,7500,365,False
C092,Processor Module 092,Processor,S092,19.45,26,100,10000,0.5432,0.571,1600,1825,False
C093,Display Module 093,Display,S093,19.9,27,100,10000,0.185,0.0862,4500,1095,False
C094,Connectivity Module 094,Connectivity,S094,20.35,15,1000,10000,0.4747,0.6524,6100,730,False
C095,Processor Module 095,Processor,S095,20.8,15,50,10000,0.7924,0.3454,6100,1825,False
C096,Chassis Module 096,Chassis,S096,21.25,25,50,10000,0.461,0.7352,5300,365,False
C097,Sensor Module 097,Sensor,S097,21.7,23,250,10000,0.8531,0.3286,7100,1095,False
C098,Battery Module 098,Battery,S098,22.15,21,250,10000,0.6584,0.2531,4200,1825,True
C099,Camera Module 099,Camera,S099,22.6,18,1000,10000,0.5483,0.4763,5800,1825,False
C100,Connectivity Module 100,Connectivity,S100,23.05,28,1000,10000,0.7832,0.3701,7500,1825,False
C101,Display Module 101,Display,S001,1.0,18,50,10000,0.5156,0.4917,2300,1825,False
C102,Connectivity Module 102,Connectivity,S002,1.45,18,50,10000,0.6177,0.6997,6800,1825,False
C103,Display Module 103,Display,S003,1.9,12,250,10000,0.3776,0.3514,7200,1825,False
C104,Chassis Module 104,Chassis,S004,2.35,27,500,10000,0.5442,0.2041,4700,1095,False
C105,PCB Module 105,PCB,S005,2.8,3,50,10000,0.6044,0.4707,7100,1825,False
C106,Connectivity Module 106,Connectivity,S006,3.25,3,100,10000,0.7939,0.4996,1300,1095,False
C107,Connector Module 107,Connector,S007,3.7,17,100,10000,0.5753,0.4954,5200,365,False
C108,Display Module 108,Display,S008,4.15,9,50,10000,0.4957,0.2836,3400,730,False
C109,Chassis Module 109,Chassis,S009,4.6,24,500,10000,0.4617,0.4414,7900,1825,False
C110,Connector Module 110,Connector,S010,5.05,17,100,10000,0.882,0.3277,7500,1825,False
C111,PCB Module 111,PCB,S011,5.5,28,500,10000,0.9443,0.3392,7200,365,False
C112,Connectivity Module 112,Connectivity,S012,5.95,5,100,10000,0.3086,0.073,7200,365,False
C113,Connector Module 113,Connector,S013,6.4,15,250,10000,0.6333,0.2885,7500,730,False
C114,Sensor Module 114,Sensor,S014,6.85,4,250,10000,0.8399,0.0389,6900,365,False
C115,Connector Module 115,Connector,S015,7.3,15,100,10000,0.3845,0.1482,3200,730,False
C116,Battery Module 116,Battery,S016,7.75,23,1000,10000,0.7179,0.4993,6800,1095,True
C117,Sensor Module 117,Sensor,S017,8.2,12,500,10000,0.4614,0.2981,2900,730,False
C118,Battery Module 118,Battery,S018,8.65,16,500,10000,0.7315,0.5283,5700,1825,False
C119,Chassis Module 119,Chassis,S019,9.1,9,50,10000,0.4773,0.2503,900,730,False
C120,Camera Module 120,Camera,S020,9.55,4,250,10000,0.456,0.4415,5200,365,False
C121,Sensor Module 121,Sensor,S021,10.0,21,100,10000,0.4164,0.2887,7600,1095,False
C122,Memory Module 122,Memory,S022,10.45,16,500,10000,0.8004,0.1703,8000,1095,False
C123,Sensor Module 123,Sensor,S023,10.9,10,500,10000,0.5241,0.766,2500,1825,False
C124,Battery Module 124,Battery,S024,11.35,7,50,10000,0.6863,0.1682,5500,730,True
C125,Sensor Module 125,Sensor,S025,11.8,21,250,10000,0.692,0.3988,4800,365,False
C126,Connector Module 126,Connector,S026,12.25,20,50,10000,0.6599,0.5525,6500,1825,False
C127,Display Module 127,Display,S027,12.7,24,100,10000,0.6055,0.5445,2200,365,False
C128,Memory Module 128,Memory,S028,13.15,22,500,10000,0.8619,0.1727,2600,730,False
C129,Battery Module 129,Battery,S029,13.6,17,1000,10000,0.863,0.4473,2700,730,True
C130,Display Module 130,Display,S030,14.05,26,250,10000,0.3776,0.0789,1500,1095,False
C131,Sensor Module 131,Sensor,S031,14.5,13,1000,10000,0.495,0.6011,6300,1825,False
C132,Processor Module 132,Processor,S032,14.95,26,1000,10000,0.5153,0.2326,6600,1095,False
C133,Chassis Module 133,Chassis,S033,15.4,25,100,10000,0.4223,0.0738,1900,365,False
C134,Battery Module 134,Battery,S034,15.85,8,500,10000,0.6539,0.3861,5900,1095,True
C135,Chassis Module 135,Chassis,S035,16.3,9,500,10000,0.9311,0.2654,6500,365,False
C136,Sensor Module 136,Sensor,S036,16.75,25,100,10000,0.6598,0.0344,2400,365,False
C137,Connector Module 137,Connector,S037,17.2,5,1000,10000,0.233,0.3565,6100,1825,False
C138,Display Module 138,Display,S038,17.65,3,100,10000,0.5661,0.1898,6700,1095,False
C139,Connectivity Module 139,Connectivity,S039,18.1,4,50,10000,0.8137,0.3946,3100,730,False
C140,Camera Module 140,Camera,S040,18.55,16,1000,10000,0.9269,0.0729,4200,730,False
C141,Battery Module 141,Battery,S041,19.0,10,500,10000,0.6044,0.116,2300,730,True
C142,Camera Module 142,Camera,S042,19.45,20,50,10000,0.3516,0.8384,6500,1095,False
C143,Connector Module 143,Connector,S043,19.9,23,500,10000,0.3972,0.326,7300,1825,False
C144,Battery Module 144,Battery,S044,20.35,25,1000,10000,0.9283,0.3158,8000,1825,False
C145,Camera Module 145,Camera,S045,20.8,5,50,10000,0.7444,0.302,2500,730,False
C146,Sensor Module 146,Sensor,S046,21.25,13,250,10000,0.3506,0.7135,5400,730,False
C147,Display Module 147,Display,S047,21.7,18,50,10000,0.4421,0.7,3900,1825,False
C148,Chassis Module 148,Chassis,S048,22.15,27,50,10000,0.4298,0.4928,1400,1825,False
C149,Processor Module 149,Processor,S049,22.6,16,500,10000,0.6121,0.3673,5800,1095,False
C150,Display Module 150,Display,S050,23.05,3,1000,10000,0.4323,0.3463,6600,365,False
C151,Memory Module 151,Memory,S051,1.0,4,1000,10000,0.5306,0.2116,3300,365,False
C152,Camera Module 152,Camera,S052,1.45,22,500,10000,0.1032,0.4652,7500,365,False
C153,Chassis Module 153,Chassis,S053,1.9,24,100,10000,0.9256,0.3838,800,1825,False
C154,Camera Module 154,Camera,S054,2.35,12,250,10000,0.6018,0.5001,2100,730,False
C155,Camera Module 155,Camera,S055,2.8,16,250,10000,0.5346,0.317,4500,730,False
C156,Sensor Module 156,Sensor,S056,3.25,18,250,10000,0.8327,0.4902,3800,1095,False
C157,PCB Module 157,PCB,S057,3.7,12,250,10000,0.4354,0.1684,7000,1825,False
C158,Memory Module 158,Memory,S058,4.15,12,250,10000,0.6449,0.4655,7800,1825,False
C159,PCB Module 159,PCB,S059,4.6,6,250,10000,0.4966,0.1165,5600,1095,False
C160,Sensor Module 160,Sensor,S060,5.05,11,100,10000,0.7451,0.4821,1800,365,False
C161,Camera Module 161,Camera,S061,5.5,24,500,10000,0.653,0.0914,7200,730,False
C162,Chassis Module 162,Chassis,S062,5.95,19,500,10000,0.7744,0.3782,5400,1095,False
C163,Sensor Module 163,Sensor,S063,6.4,20,100,10000,0.7285,0.5026,5300,1825,False
C164,Memory Module 164,Memory,S064,6.85,24,50,10000,0.0946,0.9272,2500,1825,False
C165,Camera Module 165,Camera,S065,7.3,16,50,10000,0.6622,0.4533,2000,365,False
C166,Camera Module 166,Camera,S066,7.75,20,50,10000,0.9896,0.3878,6400,365,False
C167,Sensor Module 167,Sensor,S067,8.2,18,1000,10000,0.9442,0.1898,4700,1095,False
C168,Connector Module 168,Connector,S068,8.65,13,500,10000,0.9094,0.2772,5400,1825,False
C169,PCB Module 169,PCB,S069,9.1,9,100,10000,0.9287,0.6472,6500,1095,False
C170,Sensor Module 170,Sensor,S070,9.55,9,100,10000,0.6685,0.2733,1000,365,False
C171,PCB Module 171,PCB,S071,10.0,12,50,10000,0.5261,0.6536,3600,1095,False
C172,PCB Module 172,PCB,S072,10.45,26,250,10000,0.3707,0.1121,1300,365,False
C173,Camera Module 173,Camera,S073,10.9,13,1000,10000,0.501,0.5324,7600,1095,False
C174,Camera Module 174,Camera,S074,11.35,12,100,10000,0.7712,0.7449,3000,365,False
C175,Camera Module 175,Camera,S075,11.8,3,100,10000,0.696,0.2933,2100,1095,False
C176,Connector Module 176,Connector,S076,12.25,5,100,10000,0.5218,0.4358,3800,365,False
C177,Processor Module 177,Processor,S077,12.7,11,250,10000,0.6823,0.1368,3600,1095,False
C178,Connectivity Module 178,Connectivity,S078,13.15,10,250,10000,0.5312,0.6025,5800,365,False
C179,Connectivity Module 179,Connectivity,S079,13.6,3,50,10000,0.3704,0.0725,3100,1825,False
C180,Processor Module 180,Processor,S080,14.05,18,500,10000,0.4802,0.2878,6000,730,False
C181,Processor Module 181,Processor,S081,14.5,21,100,10000,0.6532,0.6615,7000,730,False
C182,Connectivity Module 182,Connectivity,S082,14.95,4,500,10000,0.9399,0.1896,2700,1095,False
C183,Memory Module 183,Memory,S083,15.4,10,1000,10000,0.7491,0.1664,3500,1095,False
C184,Display Module 184,Display,S084,15.85,17,500,10000,0.6308,0.6769,7400,730,False
C185,PCB Module 185,PCB,S085,16.3,3,100,10000,0.1283,0.4713,7000,730,False
C186,Processor Module 186,Processor,S086,16.75,13,250,10000,0.2377,0.3505,1800,365,False
C187,Sensor Module 187,Sensor,S087,17.2,15,100,10000,0.6107,0.43,2500,1095,False
C188,Processor Module 188,Processor,S088,17.65,28,50,10000,0.6127,0.2436,6300,365,False
C189,PCB Module 189,PCB,S089,18.1,18,50,10000,0.6822,0.119,1900,1095,False
C190,Connectivity Module 190,Connectivity,S090,18.55,24,50,10000,0.9118,0.2241,1900,730,False
C191,Connectivity Module 191,Connectivity,S091,19.0,28,50,10000,0.6653,0.2887,7400,1825,False
C192,PCB Module 192,PCB,S092,19.45,26,250,10000,0.3898,0.347,5000,365,False
C193,Battery Module 193,Battery,S093,19.9,27,50,10000,0.5947,0.2487,5500,1095,True
C194,Connectivity Module 194,Connectivity,S094,20.35,15,250,10000,0.3111,0.7518,2800,1825,False
C195,Chassis Module 195,Chassis,S095,20.8,15,500,10000,0.885,0.4977,2800,1825,False
C196,Sensor Module 196,Sensor,S096,21.25,25,1000,10000,0.4174,0.6677,5700,730,False
C197,Processor Module 197,Processor,S097,21.7,23,500,10000,0.1258,0.2333,4100,730,False
C198,Connector Module 198,Connector,S098,22.15,21,250,10000,0.4852,0.4001,7700,1825,False
C199,Connector Module 199,Connector,S099,22.6,18,1000,10000,0.248,0.341,5200,730,False
C200,Processor Module 200,Processor,S100,23.05,28,100,10000,0.8297,0.4082,2500,365,False
C201,Connector Module 201,Connector,S001,1.0,18,1000,10000,0.6527,0.6883,3900,1095,False
C202,Camera Module 202,Camera,S002,1.45,18,500,10000,0.6125,0.7127,1300,365,False
C203,PCB Module 203,PCB,S003,1.9,12,500,10000,0.5753,0.1294,5400,1825,False
C204,Battery Module 204,Battery,S004,2.35,27,500,10000,0.7503,0.2939,6900,365,True
C205,Battery Module 205,Battery,S005,2.8,3,100,10000,0.3613,0.3847,6600,730,True
C206,Sensor Module 206,Sensor,S006,3.25,3,500,10000,0.5246,0.7034,6600,1095,False
C207,Processor Module 207,Processor,S007,3.7,17,250,10000,0.6998,0.8023,6800,1825,False
C208,PCB Module 208,PCB,S008,4.15,9,500,10000,0.3778,0.3968,2100,365,False
C209,Camera Module 209,Camera,S009,4.6,24,250,10000,0.5986,0.2234,3500,730,False
C210,Connector Module 210,Connector,S010,5.05,17,500,10000,0.3567,0.1296,4900,1095,False
C211,Battery Module 211,Battery,S011,5.5,28,100,10000,0.8233,0.1329,800,1825,True
C212,Display Module 212,Display,S012,5.95,5,500,10000,0.3672,0.1367,5800,365,False
C213,Connectivity Module 213,Connectivity,S013,6.4,15,100,10000,0.562,0.3421,6500,1825,False
C214,PCB Module 214,PCB,S014,6.85,4,50,10000,0.5412,0.3611,5700,1825,False
C215,PCB Module 215,PCB,S015,7.3,15,100,10000,0.5216,0.7316,5200,730,False
C216,Processor Module 216,Processor,S016,7.75,23,250,10000,0.3964,0.2178,7600,1825,False
C217,Camera Module 217,Camera,S017,8.2,12,50,10000,0.5695,0.675,2800,1825,False
C218,Connectivity Module 218,Connectivity,S018,8.65,16,250,10000,0.525,0.2199,4500,730,False
C219,Battery Module 219,Battery,S019,9.1,9,500,10000,0.8589,0.5921,1100,1825,True
C220,Chassis Module 220,Chassis,S020,9.55,4,1000,10000,0.6804,0.3468,3100,1825,False
C221,Processor Module 221,Processor,S021,10.0,21,50,10000,0.3077,0.6567,5900,365,False
C222,Memory Module 222,Memory,S022,10.45,16,50,10000,0.4753,0.5379,5500,1095,False
C223,Connectivity Module 223,Connectivity,S023,10.9,10,100,10000,0.1962,0.1009,6000,1825,False
C224,PCB Module 224,PCB,S024,11.35,7,100,10000,0.4783,0.7694,5100,1825,False
C225,Connectivity Module 225,Connectivity,S025,11.8,21,50,10000,0.505,0.2219,1800,1095,False
C226,Camera Module 226,Camera,S026,12.25,20,500,10000,0.4237,0.1575,1300,365,False
C227,PCB Module 227,PCB,S027,12.7,24,250,10000,0.7233,0.4226,5200,1825,False
C228,Battery Module 228,Battery,S028,13.15,22,250,10000,0.4861,0.5043,5100,1825,True
