product_id,component_id,quantity_required,component_role,is_critical,substitute_component_id
P001,C261,1,Display,False,
P001,C468,1,Connector,True,
P001,C195,4,Chassis,True,
P001,C320,2,Connector,True,
P001,C392,1,PCB,False,C024
P001,C178,2,Connectivity,False,C007
P001,C027,2,Connectivity,False,C009
P001,C071,1,Camera,True,
P001,C424,1,Display,True,C013
P001,C467,2,Processor,False,
P001,C244,1,Camera,False,C037
P001,C245,4,Connectivity,True,
P001,C081,1,Display,False,C045
P001,C082,1,Battery,True,
P001,C413,1,Connectivity,True,C009
P001,C387,2,PCB,True,
P001,C180,1,Processor,False,C001
P001,C140,2,Camera,True,C006
P001,C230,1,Memory,True,C022
P001,C107,2,Connector,False,C030
P001,C132,2,Processor,False,C001
P001,C141,1,Battery,True,C012
P001,C094,2,Connectivity,False,
P001,C477,1,Battery,True,C016
P001,C427,1,Connectivity,True,C007
P001,C019,2,Sensor,True,C015
P001,C488,4,Connector,False,C029
P001,C099,2,Camera,False,C006
P001,C066,2,Camera,False,
P001,C157,4,PCB,False,C049
P001,C144,1,Battery,True,C010
P001,C417,2,Memory,True,C018
P001,C231,2,Processor,True,
P001,C202,2,Camera,True,C008
P001,C127,2,Display,True,C013
P001,C201,4,Connector,True,C004
P001,C372,1,Connectivity,True,
P001,C105,1,PCB,True,C024
P001,C046,1,Connector,True,C030
P001,C098,2,Battery,True,
P001,C017,1,Chassis,True,C038
P001,C125,1,Sensor,True,C015
P001,C279,1,Battery,False,C016
P001,C285,1,Memory,True,C020
P001,C499,2,Memory,True,
P001,C267,1,Memory,True,
P001,C251,1,Display,True,C033
P001,C405,1,Connector,False,C004
P001,C219,2,Battery,True,C012
P001,C168,2,Connector,True,C029
P002,C120,2,Camera,False,
P002,C091,1,Connector,True,C030
P002,C080,1,Connector,True,C004
P002,C334,4,Camera,False,C037
P002,C227,2,PCB,True,C076
P002,C055,1,Processor,True,C005
P002,C193,2,Battery,False,C010
P002,C129,1,Battery,True,
P002,C130,2,Display,False,C045
P002,C057,4,Chassis,False,C021
P002,C377,4,Camera,True,C037
P002,C126,1,Connector,True,
P002,C092,4,Processor,False,
P002,C238,4,Display,False,C033
P002,C499,4,Memory,True,
P002,C392,1,PCB,False,
P002,C118,1,Battery,True,
P002,C485,4,Connectivity,False,
P002,C266,1,Memory,False,C020
P002,C187,1,Sensor,True,
P002,C100,1,Connectivity,True,
P002,C497,1,PCB,False,C024
P002,C472,4,Memory,False,
P002,C261,2,Display,False,C045
P002,C189,1,PCB,True,C024
P002,C437,4,Display,True,C033
P002,C290,2,PCB,False,C024
P002,C035,1,Connector,False,C029
P002,C107,1,Connector,False,C004
P002,C245,1,Connectivity,True,C009
P002,C273,2,Battery,True,
P002,C128,1,Memory,True,C022
P002,C452,2,Sensor,False,C003
P002,C460,2,Processor,True,C001
P002,C023,1,Processor,False,C005
P002,C222,4,Memory,False,C018
P002,C314,2,Battery,True,C010
P002,C018,1,Memory,False,C022
P002,C050,1,Processor,False,C001
P002,C407,4,Sensor,True,
P002,C216,2,Processor,False,
P002,C235,4,Battery,True,C016
P002,C391,1,Processor,True,
P002,C155,2,Camera,False,C006
P002,C337,1,Camera,True,C008
P002,C084,1,Display,False,C045
P002,C369,2,Memory,False,C022
P002,C089,2,Display,False,C045
P002,C459,4,Processor,True,C005
P002,C074,1,Memory,True,
P003,C364,1,Processor,True,
P003,C217,1,Camera,False,C037
P003,C475,1,Chassis,False,C011
P003,C399,1,Battery,True,
P003,C150,2,Display,False,
P003,C245,4,Connectivity,True,C009
P003,C154,1,Camera,True,C006
P003,C328,1,Processor,True,C005
P003,C495,1,Connectivity,True,C009
P003,C404,2,Connector,False,C029
P003,C405,4,Connector,False,C004
P003,C451,2,Connectivity,True,C002
P003,C307,1,Battery,False,C016
P003,C092,2,Processor,False,C001
P003,C400,1,Camera,True,C008
P003,C014,2,Sensor,False,C003
P003,C453,1,Chassis,True,C021
P003,C010,1,Battery,True,
P003,C243,2,Camera,True,
P003,C311,2,Connectivity,False,
P003,C215,1,PCB,False,
P003,C007,1,Connectivity,True,
P003,C461,1,Battery,True,C016
P003,C370,2,Memory,True,C020
P003,C038,2,Chassis,True,
P003,C398,1,Battery,False,C016
P003,C060,1,Chassis,True,
P003,C074,1,Memory,True,C020
P003,C160,1,Sensor,True,C003
P003,C079,1,Connectivity,False,C007
P003,C473,1,Display,False,C033
P003,C280,4,Connectivity,False,C002
P003,C230,2,Memory,True,C020
P003,C295,2,Display,True,C033
P003,C059,2,Chassis,False,
P003,C182,1,Connectivity,True,C002
P003,C434,1,Sensor,True,C015
P003,C281,1,Connector,True,
P003,C091,1,Connector,True,
P003,C212,1,Display,False,
P003,C210,4,Connector,False,C004
P003,C341,1,Chassis,False,
P003,C024,2,PCB,True,
P003,C287,2,Display,True,C013
P003,C387,1,PCB,True,C049
P003,C128,1,Memory,True,C018
P003,C368,1,Processor,False,
P003,C458,2,Sensor,False,C003
P003,C288,4,Chassis,True,C021
P003,C064,1,Chassis,False,C021
P004,C130,1,Display,False,
P004,C226,4,Camera,False,C008
P004,C395,1,PCB,False,C049
P004,C483,1,Memory,True,C020
P004,C366,2,Connector,True,C029
P004,C272,4,Chassis,True,
P004,C359,1,Processor,True,
P004,C471,1,Memory,True,
P004,C135,1,Chassis,True,C017
P004,C354,1,Connector,True,C030
P004,C162,2,Chassis,True,C011
P004,C038,2,Chassis,True,
P004,C493,1,Processor,True,C023
P004,C164,4,Memory,False,C022
P004,C490,4,Connectivity,False,C007
P004,C234,2,Processor,False,C023
P004,C313,2,Camera,True,
P004,C333,4,Processor,True,
P004,C308,2,Battery,True,C016
P004,C068,1,Processor,True,C023
P004,C397,1,Memory,False,C020
P004,C017,1,Chassis,True,C021
P004,C300,2,Display,False,
P004,C348,2,Chassis,False,
P004,C229,1,PCB,True,C076
P004,C240,2,Display,False,C013
P004,C304,1,PCB,True,C024
P004,C267,1,Memory,True,C020
P004,C455,1,Chassis,True,C021
P004,C179,1,Connectivity,False,C007
P004,C253,2,Memory,True,C020
P004,C346,2,Memory,False,
P004,C220,1,Chassis,True,C011
P004,C080,2,Connector,True,
P004,C107,2,Connector,False,
P004,C426,1,Memory,True,C022
P004,C122,1,Memory,True,C020
P004,C404,1,Connector,False,C029
P004,C054,4,Sensor,False,C015
P004,C484,2,Connectivity,False,C007
P004,C095,4,Processor,True,
P004,C065,2,Display,False,C045
P004,C206,1,Sensor,False,C015
P004,C145,2,Camera,True,
P004,C476,2,Battery,True,C016
P004,C307,2,Battery,False,
P004,C364,2,Processor,True,C005
P004,C186,2,Processor,False,
P004,C316,2,Processor,False,C023
P004,C408,2,Connector,False,
P005,C068,1,Processor,True,C023
P005,C285,1,Memory,True,
P005,C036,2,Connectivity,True,C007
P005,C283,1,Connectivity,True,
P005,C220,2,Chassis,True,
P005,C195,1,Chassis,True,C021
P005,C312,1,Connector,False,
P005,C290,1,PCB,False,C076
P005,C383,2,Camera,False,
P005,C378,1,Processor,False,C005
P005,C288,4,Chassis,True,
P005,C117,1,Sensor,False,C015
P005,C009,2,Connectivity,True,C027
P005,C472,1,Memory,False,C018
P005,C497,2,PCB,False,C024
P005,C181,1,Processor,True,C023
P005,C376,2,Display,True,C033
P005,C419,1,Sensor,False,
P005,C169,1,PCB,True,
P005,C343,2,Display,False,C045
P005,C374,4,Connectivity,False,C009
P005,C171,1,PCB,False,
P005,C114,2,Sensor,True,
P005,C239,1,PCB,False,
P005,C124,1,Battery,True,C010
P005,C046,1,Connector,True,C030
P005,C368,1,Processor,False,C023
P005,C095,2,Processor,True,
P005,C249,4,Battery,False,
P005,C115,4,Connector,False,C030
P005,C263,2,Memory,True,C018
P005,C102,2,Connectivity,True,C009
P005,C315,1,Processor,False,
P005,C422,1,Connector,True,C030
P005,C372,1,Connectivity,True,
P005,C250,1,Camera,True,
P005,C342,1,Display,False,C013
P005,C177,2,Processor,True,
P005,C437,1,Display,True,
P005,C257,1,Processor,False,
P005,C240,1,Display,False,C033
P005,C371,2,Camera,False,
P005,C174,2,Camera,True,C008
P005,C204,1,Battery,True,C012
P005,C198,2,Connector,False,
P005,C199,1,Connector,False,
P005,C369,1,Memory,False,C018
P005,C313,2,Camera,True,
P005,C040,2,Connector,True,C004
P005,C500,1,Display,True,
P006,C123,1,Sensor,False,C003
P006,C088,1,Battery,True,C010
P006,C351,2,Camera,False,C037
P006,C252,4,Connectivity,True,C007
P006,C426,1,Memory,True,C022
P006,C172,2,PCB,False,C049
P006,C496,2,Display,True,C013
P006,C366,4,Connector,True,
P006,C011,4,Chassis,True,C017
P006,C500,1,Display,True,C033
P006,C485,1,Connectivity,False,C002
P006,C274,2,Battery,True,
P006,C012,4,Battery,True,C026
P006,C079,4,Connectivity,False,
P006,C109,1,Chassis,False,
P006,C311,1,Connectivity,False,C009
P006,C379,1,Processor,True,C023
P006,C456,1,Camera,False,C037
P006,C406,2,PCB,True,C024
P006,C072,1,Processor,False,C023
P006,C278,1,Display,True,C045
P006,C152,1,Camera,False,C006
P006,C260,2,Processor,True,C001
P006,C107,1,Connector,False,C029
P006,C412,2,Memory,True,C018
P006,C349,4,Chassis,True,
P006,C233,2,Processor,True,
P006,C246,1,Connectivity,True,
P006,C174,2,Camera,True,
P006,C287,1,Display,True,C033
P006,C018,1,Memory,False,
P006,C091,1,Connector,True,C030
P006,C005,1,Processor,False,C001
P006,C071,1,Camera,True,C037
P006,C055,1,Processor,True,C001
P006,C067,1,Processor,False,C023
P006,C280,4,Connectivity,False,
P006,C399,1,Battery,True,
P006,C062,2,Battery,False,C016
P006,C008,1,Camera,False,C006
P006,C405,1,Connector,False,C030
P006,C077,1,Sensor,True,C003
P006,C212,1,Display,False,
P006,C464,4,Connector,True,
P006,C180,2,Processor,False,C023
P006,C016,2,Battery,False,
P006,C323,2,Camera,True,C037
P006,C102,2,Connectivity,True,C009
P006,C160,1,Sensor,True,C015
P006,C398,1,Battery,False,
P007,C257,2,Processor,False,
P007,C222,1,Memory,False,
P007,C020,1,Memory,True,
P007,C054,4,Sensor,False,C014
P007,C096,1,Chassis,False,C021
P007,C036,4,Connectivity,True,C002
P007,C478,1,Connectivity,False,
P007,C255,2,Memory,True,C022
P007,C241,1,Memory,False,
P007,C128,1,Memory,True,
P007,C271,2,Camera,True,C006
P007,C485,4,Connectivity,False,C002
P007,C066,1,Camera,False,
P007,C047,1,Connector,True,C029
P007,C189,1,PCB,True,
P007,C380,1,Memory,False,
P007,C147,4,Display,False,C045
P007,C105,2,PCB,True,C024
P007,C412,1,Memory,True,
P007,C310,1,Connector,True,C030
P007,C455,2,Chassis,True,
P007,C436,2,Battery,False,
P007,C071,1,Camera,True,C006
P007,C214,2,PCB,False,C049
P007,C265,1,Connector,True,
P007,C361,4,Connectivity,True,
P007,C267,2,Memory,True,C022
P007,C344,4,Camera,True,
P007,C448,4,Battery,False,
P007,C142,4,Camera,False,C037
P007,C033,2,Display,True,
P007,C139,1,Connectivity,True,C002
P007,C474,4,Connectivity,True,C009
P007,C243,2,Camera,True,C037
P007,C260,2,Processor,True,
P007,C445,1,Memory,False,C020
P007,C114,4,Sensor,True,C003
P007,C296,4,Connector,True,
P007,C463,1,Connectivity,True,C007
P007,C140,2,Camera,True,
P007,C038,1,Chassis,True,C011
P007,C166,4,Camera,True,C008
P007,C232,2,Sensor,True,C014
P007,C231,1,Processor,True,C001
P007,C334,1,Camera,False,C037
P007,C407,1,Sensor,True,C015
P007,C021,1,Chassis,False,C038
P007,C252,2,Connectivity,True,C002
P007,C388,2,Battery,False,C010
P007,C078,4,Connector,True,C030
P008,C121,1,Sensor,False,C014
P008,C338,1,Chassis,False,
P008,C044,1,Camera,False,C006
P008,C013,1,Display,True,C058
P008,C362,1,Connector,True,
P008,C275,1,Battery,True,C016
P008,C477,4,Battery,True,C010
P008,C334,2,Camera,False,C037
P008,C101,2,Display,False,C033
P008,C178,1,Connectivity,False,C007
P008,C226,2,Camera,False,C006
P008,C304,2,PCB,True,C049
P008,C329,2,Memory,False,C018
P008,C105,4,PCB,True,
P008,C094,1,Connectivity,False,C007
P008,C029,2,Connector,True,
P008,C323,2,Camera,True,
P008,C249,1,Battery,False,C010
P008,C002,2,Connectivity,False,C027
P008,C490,1,Connectivity,False,
P008,C436,1,Battery,False,
P008,C199,1,Connector,False,C029
P008,C083,1,Processor,True,C023
P008,C025,4,Sensor,False,
P008,C430,1,PCB,True,C024
P008,C289,4,Display,False,
P008,C374,4,Connectivity,False,
P008,C280,4,Connectivity,False,C009
P008,C174,4,Camera,True,C006
P008,C053,2,Battery,True,C016
P008,C493,1,Processor,True,C001
P008,C189,4,PCB,True,C076
P008,C491,1,Chassis,True,
P008,C302,2,PCB,False,C049
P008,C024,1,PCB,True,C105
P008,C343,1,Display,False,
P008,C426,1,Memory,True,C018
P008,C399,2,Battery,True,
P008,C417,2,Memory,True,C020
P008,C233,1,Processor,True,
P008,C262,1,PCB,True,C076
P008,C218,1,Connectivity,False,
P008,C375,2,Processor,True,
P008,C397,1,Memory,False,
P008,C279,1,Battery,False,
P008,C447,2,Processor,False,C023
P008,C183,1,Memory,True,
P008,C011,1,Chassis,True,C017
P008,C319,4,Connectivity,True,
P008,C123,4,Sensor,False,
P009,C142,4,Camera,False,C008
P009,C112,1,Connectivity,False,
P009,C089,1,Display,False,C013
P009,C037,1,Camera,False,
P009,C033,4,Display,True,C013
P009,C180,1,Processor,False,
P009,C096,1,Chassis,False,C011
P009,C300,2,Display,False,
P009,C007,2,Connectivity,True,
P009,C216,1,Processor,False,
P009,C147,1,Display,False,
P009,C163,1,Sensor,True,C015
P009,C114,1,Sensor,True,C019
P009,C372,2,Connectivity,True,
P009,C199,4,Connector,False,C030
P009,C225,4,Connectivity,False,
P009,C269,2,Memory,False,C020
P009,C489,1,Processor,False,C023
P009,C228,2,Battery,False,C016
P009,C021,1,Chassis,False,C017
P009,C434,1,Sensor,True,C015
P009,C408,1,Connector,False,C004
P009,C067,1,Processor,False,C005
P009,C371,2,Camera,False,C037
P009,C278,2,Display,True,
P009,C420,2,Chassis,False,C021
P009,C223,1,Connectivity,False,C007
P009,C130,1,Display,False,C013
P009,C362,1,Connector,True,
P009,C153,4,Chassis,True,C017
P009,C214,4,PCB,False,C076
P009,C271,4,Camera,True,
P009,C106,1,Connectivity,True,C002
P009,C375,4,Processor,True,C001
P009,C110,2,Connector,True,C029
P009,C249,4,Battery,False,
P009,C022,1,Memory,True,C020
P009,C294,1,PCB,True,C049
P009,C108,1,Display,False,C045
P009,C472,1,Memory,False,C018
P009,C409,1,Connectivity,False,
P009,C157,1,PCB,False,C024
P009,C399,2,Battery,True,C012
P009,C476,4,Battery,True,C012
P009,C056,2,Sensor,True,C015
P009,C500,4,Display,True,C033
P009,C084,2,Display,False,C045
P009,C050,2,Processor,False,
P009,C446,2,Camera,True,
P009,C349,1,Chassis,True,C011
P010,C419,1,Sensor,False,C003
P010,C295,1,Display,True,C033
P010,C313,1,Camera,True,C008
P010,C176,1,Connector,False,
