factory_id,factory_name,country,region,latitude,longitude,production_capacity,current_utilization,operating_cost_per_unit,labor_cost_per_unit,maximum_overtime,storage_capacity,recovery_time_days,reliability_score
F001,Synapse Manufacturing Plant 01,India,South,12.97,77.59,4000,0.7567,118.79,38.32,0.141,114000,1,0.8512
F002,Synapse Manufacturing Plant 02,India,West,19.08,72.88,11500,0.8301,44.11,8.69,0.174,34000,8,0.812
F003,Synapse Manufacturing Plant 03,India,North,28.61,77.21,17000,0.6846,125.43,44.44,0.166,31000,9,0.7829
F004,Synapse Manufacturing Plant 04,India,South,13.08,80.27,13000,0.5766,44.06,11.94,0.103,97000,13,0.8693
F005,Synapse Manufacturing Plant 05,India,South,17.39,78.49,19000,0.6183,20.27,25.28,0.084,120000,1,0.6848
F006,Synapse Manufacturing Plant 06,India,West,18.52,73.86,7500,0.7933,85.02,31.87,0.133,89000,7,0.9484
F007,Synapse Manufacturing Plant 07,India,East,22.57,88.36,10500,0.7084,41.46,27.1,0.296,60000,8,0.9932
F008,Synapse Manufacturing Plant 08,India,West,23.02,72.57,10500,0.6044,63.36,19.79,0.168,111000,5,0.7265
F009,Synapse Manufacturing Plant 09,India,North,26.91,75.79,7500,0.8094,58.29,13.12,0.272,68000,11,0.8347
F010,Synapse Manufacturing Plant 10,India,South,11.02,76.96,4000,0.8637,54.84,16.95,0.144,46000,5,0.9046
F011,Synapse Manufacturing Plant 11,India,South,12.975000000000001,77.595,10000,0.8363,75.58,42.14,0.207,71000,8,0.9523
F012,Synapse Manufacturing Plant 12,India,West,19.084999999999997,72.88499999999999,16000,0.5844,71.77,44.05,0.278,61000,2,0.8411
F013,Synapse Manufacturing Plant 13,India,North,28.615,77.21499999999999,4000,0.8341,34.97,21.86,0.185,107000,14,0.9355
F014,Synapse Manufacturing Plant 14,India,South,13.085,80.27499999999999,4500,0.7154,73.78,27.63,0.287,30000,11,0.8641
F015,Synapse Manufacturing Plant 15,India,South,17.395,78.49499999999999,17500,0.8166,36.44,20.81,0.27,49000,8,0.964
F016,Synapse Manufacturing Plant 16,India,West,18.525,73.865,20000,0.6799,70.33,37.4,0.122,61000,2,0.623
F017,Synapse Manufacturing Plant 17,India,East,22.575,88.365,18000,0.7067,111.2,9.55,0.091,95000,11,0.7384
F018,Synapse Manufacturing Plant 18,India,West,23.025,72.57499999999999,4500,0.6374,98.97,38.57,0.083,100000,7,0.7893
F019,Synapse Manufacturing Plant 19,India,North,26.915,75.795,5500,0.6667,28.45,39.71,0.131,62000,13,0.7725
F020,Synapse Manufacturing Plant 20,India,South,11.025,76.96499999999999,9000,0.7794,58.18,29.83,0.128,111000,3,0.8365
