product_id,product_name,category,factory_id,selling_price,production_cost,production_time_hours,demand_mean,demand_std,priority_level,profit_margin
P001,Drone Controller Series 001,Drone Controller,F001,1828.71,1227.61,2.09,23.0164,15.6415,Medium,0.328702
P002,Router Series 002,Router,F002,2277.32,1358.65,0.21,21.726,15.3243,Critical,0.4034
P003,Smartwatch Series 003,Smartwatch,F003,1382.34,1105.32,0.24,21.6329,15.7846,High,0.200399
P004,Router Series 004,Router,F004,1506.02,1138.55,1.68,22.7644,15.4093,Low,0.244001
P005,Laptop Series 005,Laptop,F005,1489.32,1101.5,0.62,21.1233,15.0232,High,0.260401
P006,Drone Controller Series 006,Drone Controller,F006,1779.32,979.34,0.91,21.1918,14.0323,High,0.449599
P007,Camera Series 007,Camera,F007,2362.8,1385.31,2.0,22.2904,14.89,High,0.4137
P008,Smartphone Series 008,Smartphone,F008,1754.19,1225.65,0.9,21.9671,15.4563,Low,0.301301
P009,Tablet Series 009,Tablet,F009,2438.98,1354.61,1.31,21.2137,14.5345,Medium,0.4446
P010,IoT Sensor Series 010,IoT Sensor,F010,1599.86,1109.34,0.67,22.3589,15.7489,Medium,0.306602
P011,Tablet Series 011,Tablet,F011,1428.84,1025.62,0.49,22.5699,15.2649,Low,0.282201
P012,Router Series 012,Router,F012,1259.62,1020.92,0.64,23.5315,16.3808,High,0.189502
P013,Drone Controller Series 013,Drone Controller,F013,2214.66,1237.33,1.55,22.9589,15.4024,Medium,0.4413
P014,IoT Sensor Series 014,IoT Sensor,F014,2468.18,1441.91,2.35,22.5671,14.7796,Low,0.4158
P015,Laptop Series 015,Laptop,F015,1904.84,1212.05,1.82,22.337,14.6844,Medium,0.3637
P016,Laptop Series 016,Laptop,F016,1877.81,1241.23,0.76,22.5918,15.1542,Critical,0.339001
P017,Camera Series 017,Camera,F017,1531.05,1126.7,0.5,22.0192,14.8253,Low,0.2641
P018,Smartphone Series 018,Smartphone,F018,1375.37,1116.94,1.75,22.1507,14.6065,Critical,0.187899
P019,IoT Sensor Series 019,IoT Sensor,F019,1619.04,1239.21,0.3,21.9644,14.1127,High,0.234602
P020,IoT Sensor Series 020,IoT Sensor,F020,1566.77,1159.41,1.96,20.8849,15.3665,Critical,0.26
P021,Smartphone Series 021,Smartphone,F001,2276.14,1483.36,1.96,22.2164,15.7264,High,0.3483
P022,Router Series 022,Router,F002,1443.59,1041.55,0.59,22.4932,16.1599,Medium,0.2785
P023,Drone Controller Series 023,Drone Controller,F003,1437.45,1096.92,2.19,21.9781,14.9081,Low,0.236899
P024,Smartphone Series 024,Smartphone,F004,1890.71,1050.1,1.29,21.2493,13.8973,Low,0.4446
P025,Laptop Series 025,Laptop,F005,1278.22,972.6,0.5,20.5507,14.71,Low,0.239098
P026,Tablet Series 026,Tablet,F006,2151.64,1203.84,1.21,21.5753,14.5389,Low,0.440501
P027,Tablet Series 027,Tablet,F007,1865.83,1086.66,1.91,20.6712,14.7932,Medium,0.4176
P028,Camera Series 028,Camera,F008,1832.07,1252.95,2.06,21.337,13.7971,Low,0.316101
P029,Drone Controller Series 029,Drone Controller,F009,1884.63,1186.56,2.14,21.5342,13.9827,Low,0.370402
P030,IoT Sensor Series 030,IoT Sensor,F010,2508.28,1526.29,1.56,22.937,15.4435,Critical,0.391499
P031,Smartwatch Series 031,Smartwatch,F011,2221.11,1240.27,1.57,21.8027,14.7641,Critical,0.441599
P032,Router Series 032,Router,F012,1577.18,1211.12,2.32,21.7205,14.9481,Critical,0.232098
P033,Router Series 033,Router,F013,1930.74,1263.28,2.31,20.9562,13.6355,Critical,0.345702
P034,Drone Controller Series 034,Drone Controller,F014,1274.41,974.16,0.25,22.6795,15.4652,High,0.235599
P035,IoT Sensor Series 035,IoT Sensor,F015,1875.22,1056.5,0.32,22.1726,15.03,Medium,0.436599
P036,Drone Controller Series 036,Drone Controller,F016,1498.01,1218.03,2.5,20.5178,13.9218,High,0.186901
P037,IoT Sensor Series 037,IoT Sensor,F017,1837.25,1101.25,1.75,22.7096,14.4815,Critical,0.400599
P038,Drone Controller Series 038,Drone Controller,F018,1677.89,1267.14,1.13,22.8438,15.6,Critical,0.244802
P039,Smartwatch Series 039,Smartwatch,F019,1579.48,1123.96,1.89,21.9288,15.9195,Medium,0.288399
P040,Tablet Series 040,Tablet,F020,1600.78,1085.01,1.57,22.1425,15.9627,High,0.322199
P041,IoT Sensor Series 041,IoT Sensor,F001,1836.19,1260.36,1.49,20.5973,15.2078,High,0.3136
P042,IoT Sensor Series 042,IoT Sensor,F002,1908.24,1137.5,1.32,22.6,14.9737,Medium,0.403901
P043,Tablet Series 043,Tablet,F003,2352.24,1408.52,2.16,21.7644,15.0622,Medium,0.401201
P044,Camera Series 044,Camera,F004,1667.76,937.45,0.83,22.1452,15.4385,High,0.437899
P045,Tablet Series 045,Tablet,F005,1401.0,1132.85,0.69,21.537,14.4238,High,0.191399
P046,Router Series 046,Router,F006,1718.99,1301.79,2.15,22.3342,14.7987,Low,0.242701
P047,Smartwatch Series 047,Smartwatch,F007,1495.14,1196.86,2.01,22.4,14.2936,Low,0.1995
P048,Laptop Series 048,Laptop,F008,2211.5,1436.15,0.26,21.337,15.4756,High,0.350599
P049,Smartphone Series 049,Smartphone,F009,1254.47,801.86,0.42,21.2767,15.2672,High,0.360798
P050,Drone Controller Series 050,Drone Controller,F010,1681.79,1203.99,2.06,22.0712,15.3698,Critical,0.284102
P051,Smartphone Series 051,Smartphone,F011,2002.77,1205.67,1.17,20.8493,14.2845,Critical,0.397999
P052,Smartwatch Series 052,Smartwatch,F012,1581.06,1213.62,2.26,21.4219,15.1083,Medium,0.232401
P053,Drone Controller Series 053,Drone Controller,F013,1638.29,1165.48,2.17,20.189,14.6973,Low,0.2886
P054,Router Series 054,Router,F014,1873.41,1047.61,1.63,22.1425,15.3837,High,0.4408
P055,IoT Sensor Series 055,IoT Sensor,F015,1521.29,1128.8,1.95,21.8795,14.9676,Low,0.257998
P056,Camera Series 056,Camera,F016,2450.17,1532.58,2.43,21.8384,14.9145,Low,0.374501
P057,Router Series 057,Router,F017,1566.39,1213.95,1.53,23.0548,15.2381,High,0.225001
P058,Laptop Series 058,Laptop,F018,1481.9,1200.49,0.38,21.6082,15.1221,Critical,0.189898
P059,Smartwatch Series 059,Smartwatch,F019,1457.23,919.51,0.97,22.2164,15.5465,High,0.369001
P060,Camera Series 060,Camera,F020,1950.06,1143.71,0.21,22.5699,15.7641,Low,0.4135
