warehouse_id,warehouse_name,country,region,latitude,longitude,storage_capacity,handling_capacity,operating_cost,reliability_score
W001,Synapse Distribution Hub 01,India,South,12.97,77.59,5647198,7500,9765.4,0.8538
W002,Synapse Distribution Hub 02,India,West,19.08,72.88,5641872,8000,4550.84,0.9218
W003,Synapse Distribution Hub 03,India,North,28.61,77.21,5616118,4000,18610.46,0.8039
W004,Synapse Distribution Hub 04,India,South,13.08,80.27,5670872,16500,10753.49,0.8186
W005,Synapse Distribution Hub 05,India,South,17.39,78.49,5676918,5000,6505.91,0.9784
W006,Synapse Distribution Hub 06,India,West,18.52,73.86,5756444,13500,9795.15,0.9548
W007,Synapse Distribution Hub 07,India,East,22.57,88.36,5693502,3500,8014.88,0.9752
W008,Synapse Distribution Hub 08,India,West,23.02,72.57,5680766,17000,16029.55,0.6045
W009,Synapse Distribution Hub 09,India,North,26.91,75.79,5712050,6000,10316.15,0.9785
W010,Synapse Distribution Hub 10,India,South,11.02,76.96,5623074,10000,16694.32,0.9219
W011,Synapse Distribution Hub 11,India,South,12.975000000000001,77.595,5726300,11000,9784.23,0.8663
W012,Synapse Distribution Hub 12,India,West,19.084999999999997,72.88499999999999,5860122,18500,5923.53,0.9408
W013,Synapse Distribution Hub 13,India,North,28.615,77.21499999999999,5906092,19000,7126.62,0.8338
W014,Synapse Distribution Hub 14,India,South,13.085,80.27499999999999,5789612,6000,15600.97,0.8639
W015,Synapse Distribution Hub 15,India,South,17.395,78.49499999999999,5696696,10000,19915.72,0.6808
W016,Synapse Distribution Hub 16,India,West,18.525,73.865,5583614,19000,9945.47,0.7407
W017,Synapse Distribution Hub 17,India,East,22.575,88.365,5589112,8500,19761.51,0.8244
W018,Synapse Distribution Hub 18,India,West,23.025,72.57499999999999,5638042,11000,11385.68,0.9334
W019,Synapse Distribution Hub 19,India,North,26.915,75.795,5629626,17000,4510.95,0.7803
W020,Synapse Distribution Hub 20,India,South,11.025,76.96499999999999,5463388,8500,19435.02,0.9162
W021,Synapse Distribution Hub 21,India,South,12.98,77.60000000000001,5276960,7000,13786.98,0.9429
W022,Synapse Distribution Hub 22,India,West,19.09,72.89,5262130,12500,4016.1,0.8549
W023,Synapse Distribution Hub 23,India,North,28.62,77.22,5313196,6000,5580.59,0.8413
W024,Synapse Distribution Hub 24,India,South,13.09,80.28,5323296,22000,13264.08,0.7141
W025,Synapse Distribution Hub 25,India,South,17.400000000000002,78.5,5430584,19000,19520.31,0.6863
W026,Synapse Distribution Hub 26,India,West,18.53,73.87,5517472,5000,11650.65,0.8507
W027,Synapse Distribution Hub 27,India,East,22.580000000000002,88.37,5474990,12000,10667.7,0.752
W028,Synapse Distribution Hub 28,India,West,23.03,72.58,5534816,3000,6095.37,0.9197
W029,Synapse Distribution Hub 29,India,North,26.92,75.80000000000001,5600470,8000,12231.61,0.7611
W030,Synapse Distribution Hub 30,India,South,11.03,76.97,5622202,5000,13405.34,0.8995
