inventory_id,warehouse_id,component_id,product_id,quantity_on_hand,reserved_quantity,available_quantity,safety_stock,reorder_point,maximum_stock,holding_cost_per_unit,stockout_cost_per_unit,inventory_age_days,last_updated_date
I000001,W001,C001,,31070,3107,27963,7600,15200,62140,0.0002,0.05,101,2027-01-01
I000002,W002,C001,,30904,3090,27814,7600,15200,61808,0.0002,0.05,7,2027-01-01
I000003,W003,C001,,31032,3103,27929,7600,15200,62064,0.0002,0.05,11,2027-01-01
I000004,W004,C001,,30670,3067,27603,7600,15200,61340,0.0002,0.05,54,2027-01-01
I000005,W005,C001,,31282,3128,28154,7600,15200,62564,0.0002,0.05,32,2027-01-01
I000006,W006,C001,,31301,3130,28171,7600,15200,62602,0.0002,0.05,60,2027-01-01
I000007,W007,C001,,30608,3060,27548,7600,15200,61216,0.0002,0.05,31,2027-01-01
I000008,W008,C001,,31209,3120,28089,7600,15200,62418,0.0002,0.05,81,2027-01-01
I000009,W009,C001,,30548,3054,27494,7600,15200,61096,0.0002,0.05,101,2027-01-01
I000010,W002,C002,,11613,1161,10452,2700,5400,23226,0.0003,0.07,69,2027-01-01
I000011,W003,C002,,11157,1115,10042,2700,5400,22314,0.0003,0.07,38,2027-01-01
I000012,W004,C002,,11158,1115,10043,2700,5400,22316,0.0003,0.07,51,2027-01-01
I000013,W005,C002,,11592,1159,10433,2700,5400,23184,0.0003,0.07,57,2027-01-01
I000014,W006,C002,,11003,1100,9903,2700,5400,22006,0.0003,0.07,16,2027-01-01
I000015,W007,C002,,11694,1169,10525,2700,5400,23388,0.0003,0.07,67,2027-01-01
I000016,W008,C002,,11177,1117,10060,2700,5400,22354,0.0003,0.07,111,2027-01-01
I000017,W009,C002,,11078,1107,9971,2700,5400,22156,0.0003,0.07,23,2027-01-01
I000018,W010,C002,,10940,1094,9846,2700,5400,21880,0.0003,0.07,87,2027-01-01
I000019,W003,C003,,12180,1218,10962,2900,5800,24360,0.0004,0.1,67,2027-01-01
I000020,W004,C003,,11854,1185,10669,2900,5800,23708,0.0004,0.1,101,2027-01-01
I000021,W005,C003,,12180,1218,10962,2900,5800,24360,0.0004,0.1,86,2027-01-01
I000022,W006,C003,,12076,1207,10869,2900,5800,24152,0.0004,0.1,80,2027-01-01
I000023,W007,C003,,12400,1240,11160,2900,5800,24800,0.0004,0.1,90,2027-01-01
I000024,W008,C003,,11892,1189,10703,2900,5800,23784,0.0004,0.1,101,2027-01-01
I000025,W009,C003,,12070,1207,10863,2900,5800,24140,0.0004,0.1,34,2027-01-01
I000026,W010,C003,,12108,1210,10898,2900,5800,24216,0.0004,0.1,90,2027-01-01
I000027,W011,C003,,12349,1234,11115,2900,5800,24698,0.0004,0.1,12,2027-01-01
I000028,W004,C004,,16945,1694,15251,4000,8000,33890,0.0005,0.12,59,2027-01-01
I000029,W005,C004,,16485,1648,14837,4000,8000,32970,0.0005,0.12,88,2027-01-01
I000030,W006,C004,,16231,1623,14608,4000,8000,32462,0.0005,0.12,56,2027-01-01
I000031,W007,C004,,16385,1638,14747,4000,8000,32770,0.0005,0.12,5,2027-01-01
I000032,W008,C004,,16565,1656,14909,4000,8000,33130,0.0005,0.12,36,2027-01-01
I000033,W009,C004,,16892,1689,15203,4000,8000,33784,0.0005,0.12,81,2027-01-01
I000034,W010,C004,,16350,1635,14715,4000,8000,32700,0.0005,0.12,58,2027-01-01
I000035,W011,C004,,16645,1664,14981,4000,8000,33290,0.0005,0.12,24,2027-01-01
I000036,W012,C004,,16949,1694,15255,4000,8000,33898,0.0005,0.12,1,2027-01-01
I000037,W005,C005,,18169,1816,16353,4300,8600,36338,0.0006,0.14,32,2027-01-01
I000038,W006,C005,,18074,1807,16267,4300,8600,36148,0.0006,0.14,107,2027-01-01
I000039,W007,C005,,17516,1751,15765,4300,8600,35032,0.0006,0.14,118,2027-01-01
I000040,W008,C005,,18058,1805,16253,4300,8600,36116,0.0006,0.14,107,2027-01-01
