order_id,customer_id,product_id,warehouse_id,order_date,required_date,quantity,unit_price,priority,order_status,region
O000001,CU10337,P049,W021,2026-12-12,2026-12-19,3,1254.47,Low,Delivered,South
O000002,CU09890,P036,W001,2026-10-07,2026-10-12,10,1498.01,Critical,Delivered,South
O000003,CU19867,P016,W019,2026-02-18,2026-02-24,5,1877.81,Critical,Delivered,North
O000004,CU07734,P045,W026,2026-02-09,2026-02-14,14,1401.0,Critical,Delivered,West
O000005,CU09224,P083,W018,2026-02-02,2026-02-07,11,1718.44,Low,Delivered,West
O000006,CU04202,P055,W004,2026-11-01,2026-11-06,10,1521.29,High,Delivered,South
O000007,CU13172,P024,W029,2026-02-28,2026-03-07,11,1890.71,Critical,Delivered,North
O000008,CU15636,P006,W028,2026-07-11,2026-07-16,10,1779.32,Critical,Delivered,West
O000009,CU00684,P067,W020,2026-05-17,2026-05-24,6,1766.71,Medium,Delivered,South
O000010,CU04323,P007,W009,2026-05-21,2026-05-27,14,2362.8,Critical,Delivered,North
O000011,CU04596,P080,W028,2026-10-03,2026-10-10,2,1828.94,Low,Delivered,West
O000012,CU03845,P099,W013,2026-05-20,2026-05-24,6,1662.53,Low,Delivered,North
O000013,CU03162,P045,W028,2026-09-04,2026-09-09,8,1401.0,Critical,Delivered,West
O000014,CU18122,P018,W027,2026-09-05,2026-09-12,13,1375.37,High,Delivered,East
O000015,CU04451,P064,W017,2026-07-29,2026-08-04,14,1049.36,Low,Delivered,East
O000016,CU03072,P093,W007,2026-02-12,2026-02-18,14,2141.57,Medium,Delivered,East
O000017,CU04864,P087,W022,2026-10-17,2026-10-24,3,1689.96,Medium,Delivered,West
O000018,CU17331,P024,W025,2026-07-18,2026-07-23,13,1890.71,Medium,Delivered,South
O000019,CU13481,P081,W007,2026-05-11,2026-05-18,13,1828.86,High,Delivered,East
O000020,CU02428,P064,W001,2026-05-19,2026-05-23,12,1049.36,Low,Delivered,South
O000021,CU04891,P061,W020,2026-01-15,2026-01-19,8,2377.45,High,Delivered,South
O000022,CU14950,P052,W025,2026-08-02,2026-08-07,14,1581.06,Low,Delivered,South
O000023,CU12230,P089,W022,2026-12-28,2027-01-03,3,1582.11,High,In_Transit,West
O000024,CU01540,P088,W028,2026-02-19,2026-02-23,12,1756.58,High,Delivered,West
O000025,CU01149,P064,W006,2026-09-23,2026-09-28,15,1049.36,Low,Delivered,West
O000026,CU10004,P022,W007,2026-04-21,2026-04-28,9,1443.59,Low,Delivered,East
O000027,CU05095,P044,W004,2026-07-02,2026-07-06,1,1667.76,Medium,Delivered,South
