route_id,origin_id,destination_id,transport_mode,distance_km,normal_transit_days,route_capacity,cost_per_unit,weather_risk,congestion_risk,geopolitical_risk,alternative_route_available,estimated_transit_cost
R0001,S001,F002,Road,1014.45,2,10000,0.1514,0.12,0.18,0.03,False,45.43
R0002,S001,F016,Road,882.07,2,10000,0.1382,0.12,0.18,0.03,False,41.46
R0003,S002,F006,Road,144.59,1,10000,0.0645,0.12,0.18,0.03,False,19.34
R0004,S002,F009,Road,1104.1,3,10000,0.1604,0.12,0.18,0.03,False,48.12
R0005,S003,F011,Road,2086.79,4,10000,0.2587,0.12,0.18,0.03,False,77.6
R0006,S003,F009,Road,282.07,1,10000,0.0782,0.12,0.18,0.03,False,23.46
R0007,S004,F004,Road,1.2,1,10000,0.0501,0.12,0.18,0.03,False,15.04
R0008,S004,F019,Road,1928.89,4,10000,0.2429,0.12,0.18,0.03,False,72.87
R0009,S005,F010,Road,872.68,2,10000,0.1373,0.12,0.18,0.03,False,41.18
R0010,S005,F003,Road,1505.32,3,10000,0.2005,0.12,0.18,0.03,False,60.16
R0011,S006,F004,Road,1097.06,2,10000,0.1597,0.12,0.18,0.03,False,47.91
R0012,S006,F002,Road,144.59,1,10000,0.0645,0.12,0.18,0.03,False,19.34
R0013,S007,F012,Road,1984.05,4,10000,0.2484,0.12,0.18,0.03,False,74.52
R0014,S007,F006,Road,1889.52,4,10000,0.239,0.12,0.18,0.03,False,71.69
R0015,S008,F003,Road,930.88,2,10000,0.1431,0.12,0.18,0.03,False,42.93
R0016,S008,F007,Road,1942.36,4,10000,0.2442,0.12,0.18,0.03,False,73.27
R0017,S009,F018,Road,647.97,2,10000,0.1148,0.12,0.18,0.03,False,34.44
R0018,S009,F010,Road,2125.35,4,10000,0.2625,0.12,0.18,0.03,False,78.76
R0019,S010,F007,Road,2118.05,4,10000,0.2618,0.12,0.18,0.03,False,78.54
R0020,S010,F005,Road,872.68,2,10000,0.1373,0.12,0.18,0.03,False,41.18
R0021,S011,F017,Road,1872.79,4,10000,0.2373,0.12,0.18,0.03,False,71.18
R0022,S011,F003,Road,2086.79,4,10000,0.2587,0.12,0.18,0.03,False,77.6
R0023,S012,F001,Road,1014.6,2,10000,0.1515,0.12,0.18,0.03,False,45.44
R0024,S012,F016,Road,144.59,1,10000,0.0645,0.12,0.18,0.03,False,19.34
R0025,S013,F017,Road,1563.99,3,10000,0.2064,0.12,0.18,0.03,False,61.92
R0026,S013,F001,Road,2088.09,4,10000,0.2588,0.12,0.18,0.03,False,77.64
R0027,S014,F012,Road,1239.98,3,10000,0.174,0.12,0.18,0.03,False,52.2
R0028,S014,F016,Road,1097.04,2,10000,0.1597,0.12,0.18,0.03,False,47.91
R0029,S015,F003,Road,1504.72,3,10000,0.2005,0.12,0.18,0.03,False,60.14
R0030,S015,F004,Road,619.43,2,10000,0.1119,0.12,0.18,0.03,False,33.58
R0031,S016,F010,Road,1077.97,2,10000,0.1578,0.12,0.18,0.03,False,47.34
R0032,S016,F001,Road,882.07,2,10000,0.1382,0.12,0.18,0.03,False,41.46
R0033,S017,F002,Road,1985.57,4,10000,0.2486,0.12,0.18,0.03,False,74.57
R0034,S017,F013,Road,1563.99,3,10000,0.2064,0.12,0.18,0.03,False,61.92
R0035,S018,F004,Road,1646.41,3,10000,0.2146,0.12,0.18,0.03,False,64.39
R0036,S018,F017,Road,1942.29,4,10000,0.2442,0.12,0.18,0.03,False,73.27
R0037,S019,F019,Road,1.2,1,10000,0.0501,0.12,0.18,0.03,False,15.04
R0038,S019,F002,Road,1104.93,3,10000,0.1605,0.12,0.18,0.03,False,48.15
R0039,S020,F008,Road,1695.49,4,10000,0.2195,0.12,0.18,0.03,False,65.86
R0040,S020,F004,Road,511.04,1,10000,0.1011,0.12,0.18,0.03,False,30.33
R0041,S021,F011,Road,1.2,1,10000,0.0501,0.12,0.18,0.03,False,15.04
R0042,S021,F016,Road,881.64,2,10000,0.1382,0.12,0.18,0.03,False,41.45
R0043,S022,F005,Road,745.0,2,10000,0.1245,0.12,0.18,0.03,False,37.35
R0044,S022,F011,Road,1014.59,2,10000,0.1515,0.12,0.18,0.03,False,45.44
R0045,S023,F009,Road,283.84,1,10000,0.0784,0.12,0.18,0.03,False,23.52
R0046,S023,F014,Road,2107.3,4,10000,0.2607,0.12,0.18,0.03,False,78.22
R0047,S024,F018,Road,1646.07,3,10000,0.2146,0.12,0.18,0.03,False,64.38
R0048,S024,F010,Road,513.77,1,10000,0.1014,0.12,0.18,0.03,False,30.41
R0049,S025,F015,Road,1.2,1,10000,0.0501,0.12,0.18,0.03,False,15.04
R0050,S025,F016,Road,607.14,2,10000,0.1107,0.12,0.18,0.03,False,33.21
R0051,S026,F015,Road,606.25,2,10000,0.1106,0.12,0.18,0.03,False,33.19
R0052,S026,F001,Road,882.28,2,10000,0.1382,0.12,0.18,0.03,False,41.47
R0053,S027,F014,Road,1630.69,3,10000,0.2131,0.12,0.18,0.03,False,63.92
R0054,S027,F007,Road,1.82,1,10000,0.0502,0.12,0.18,0.03,False,15.05
R0055,S028,F006,Road,622.6,2,10000,0.1123,0.12,0.18,0.03,False,33.68
R0056,S028,F005,Road,1055.15,2,10000,0.1555,0.12,0.18,0.03,False,46.65
R0057,S029,F019,Road,1.2,1,10000,0.0501,0.12,0.18,0.03,False,15.04
R0058,S029,F016,Road,1145.15,3,10000,0.1645,0.12,0.18,0.03,False,49.35
R0059,S030,F010,Road,1.87,1,10000,0.0502,0.12,0.18,0.03,False,15.06
R0060,S030,F001,Road,271.21,1,10000,0.0771,0.12,0.18,0.03,False,23.14
R0061,S031,F003,Road,2085.48,4,10000,0.2585,0.12,0.18,0.03,False,77.56
R0062,S031,F009,Road,1871.87,4,10000,0.2372,0.12,0.18,0.03,False,71.16
R0063,S032,F002,Road,2.75,1,10000,0.0503,0.12,0.18,0.03,False,15.08
R0064,S032,F019,Road,1102.43,3,10000,0.1602,0.12,0.18,0.03,False,48.07
R0065,S033,F016,Road,1408.69,3,10000,0.1909,0.12,0.18,0.03,False,57.26
R0066,S033,F018,Road,932.64,2,10000,0.1433,0.12,0.18,0.03,False,42.98
R0067,S034,F003,Road,2105.13,4,10000,0.2605,0.12,0.18,0.03,False,78.15
R0068,S034,F018,Road,1645.9,3,10000,0.2146,0.12,0.18,0.03,False,64.38
R0069,S035,F015,Road,1.84,1,10000,0.0502,0.12,0.18,0.03,False,15.06
R0070,S035,F010,Road,875.07,2,10000,0.1375,0.12,0.18,0.03,False,41.25
R0071,S036,F002,Road,145.2,1,10000,0.0645,0.12,0.18,0.03,False,19.36
R0072,S036,F015,Road,605.79,2,10000,0.1106,0.12,0.18,0.03,False,33.17
R0073,S037,F009,Road,1629.52,3,10000,0.213,0.12,0.18,0.03,False,63.89
R0074,S037,F013,Road,1564.29,3,10000,0.2064,0.12,0.18,0.03,False,61.93
R0075,S038,F001,Road,1485.16,3,10000,0.1985,0.12,0.18,0.03,False,59.55
