disruption_id,scenario_id,entity_id,entity_type,disruption_type,start_time,duration_days,severity,probability,capacity_loss_percent,delay_days,affected_quantity,recovery_time_days,root_cause
D000001,SC00001,S092,Supplier,Supplier_Failure,2027-01-01,4,0.8868,1.0,88.68,4,4168,4,Supplier outage
D000002,SC00001,C162,Component,Material_Shortage,2027-01-03,3,0.1897,1.0,18.97,3,1234,3,Component shortage
D000003,SC00001,F001,Factory,Factory_Breakdown,2027-01-05,4,0.7128,1.0,71.28,4,7057,4,Equipment failure
D000004,SC00001,R0120,Route,Transportation_Disruption,2027-01-07,2,0.4218,1.0,42.18,2,591,2,Road closure
D000005,SC00002,S063,Supplier,Supplier_Failure,2027-01-01,6,0.872,1.0,87.2,6,5232,6,Supplier outage
D000006,SC00002,C459,Component,Material_Shortage,2027-01-03,6,0.8455,1.0,84.55,6,5919,6,Component shortage
D000007,SC00002,F002,Factory,Factory_Breakdown,2027-01-05,5,0.2952,1.0,29.52,5,1403,5,Equipment failure
D000008,SC00002,R0071,Route,Transportation_Disruption,2027-01-07,6,0.3486,1.0,34.86,6,2197,6,Road closure
D000009,SC00003,S051,Supplier,Supplier_Failure,2027-01-01,13,0.5024,1.0,50.24,13,4271,13,Supplier outage
D000010,SC00003,C408,Component,Material_Shortage,2027-01-03,13,0.4325,1.0,43.25,13,4325,13,Component shortage
D000011,SC00003,F003,Factory,Factory_Breakdown,2027-01-05,13,0.2677,1.0,26.77,13,2008,13,Equipment failure
D000012,SC00003,R0174,Route,Transportation_Disruption,2027-01-07,4,0.8784,1.0,87.84,4,5271,4,Road closure
D000013,SC00004,S069,Supplier,Supplier_Failure,2027-01-01,6,0.4969,1.0,49.69,6,1243,6,Supplier outage
D000014,SC00004,C047,Component,Material_Shortage,2027-01-03,5,0.5338,1.0,53.38,5,2670,5,Component shortage
D000015,SC00004,F004,Factory,Factory_Breakdown,2027-01-05,12,0.2829,1.0,28.29,12,1132,12,Equipment failure
D000016,SC00004,R0040,Route,Transportation_Disruption,2027-01-07,10,0.422,1.0,42.2,10,2068,10,Road closure
D000017,SC00005,S070,Supplier,Supplier_Failure,2027-01-01,7,0.5434,1.0,54.34,7,4076,7,Supplier outage
D000018,SC00005,C046,Component,Material_Shortage,2027-01-03,2,0.7263,1.0,72.63,2,3559,2,Component shortage
D000019,SC00005,F005,Factory,Factory_Breakdown,2027-01-05,4,0.3698,1.0,36.98,4,407,4,Equipment failure
D000020,SC00005,R0056,Route,Transportation_Disruption,2027-01-07,2,0.2635,1.0,26.35,2,2108,2,Road closure
D000021,SC00006,S028,Supplier,Supplier_Failure,2027-01-01,4,0.6444,1.0,64.44,4,3319,4,Supplier outage
