financial_impact_id,disruption_id,scenario_id,production_loss_cost,lost_revenue,expedite_cost,alternative_supplier_cost,additional_transport_cost,inventory_holding_cost,stockout_cost,penalty_cost,recovery_cost,total_cost,revenue_at_risk,recoverable_value,net_financial_impact
FI000001,D000001,SC00001,219600.06,630490.78,0.0,0.0,0.0,0.0,0.0,16451.94,0.0,236052.0,4743475.76,0.0,236052.0
FI000002,D000002,SC00001,23338.6,111560.46,0.0,0.0,0.0,0.0,0.0,3050.54,0.0,26389.14,1128406.62,0.0,26389.14
FI000003,D000003,SC00001,248733.4,558700.75,0.0,0.0,0.0,0.0,0.0,14540.48,0.0,263273.88,4193821.8,0.0,263273.88
FI000004,D000004,SC00001,9525.96,21397.05,0.0,0.0,0.0,0.0,0.0,656.18,0.0,10182.14,349485.15,0.0,10182.14
FI000005,D000005,SC00002,266416.2,879842.9,0.0,0.0,0.0,0.0,0.0,21126.32,0.0,287542.52,4400896.8,0.0,287542.52
FI000006,D000006,SC00002,271007.65,671809.4,0.0,0.0,0.0,0.0,0.0,16178.08,0.0,287185.73,3368156.28,0.0,287185.73
FI000007,D000007,SC00002,93675.32,336356.47,0.0,0.0,0.0,0.0,0.0,8445.0,0.0,102120.32,2025356.77,0.0,102120.32
FI000008,D000008,SC00002,223626.6,738529.7,0.0,0.0,0.0,0.0,0.0,17744.9,0.0,241371.5,3696013.1,0.0,241371.5
FI000009,D000009,SC00003,311374.14,793919.28,0.0,0.0,0.0,0.0,0.0,13515.53,0.0,324889.67,1833575.48,0.0,324889.67
FI000010,D000010,SC00003,441660.96,1100848.32,0.0,0.0,0.0,0.0,0.0,18745.0,0.0,460405.96,2542771.44,0.0,460405.96
FI000011,D000011,SC00003,204787.24,510436.08,0.0,0.0,0.0,0.0,0.0,8715.05,0.0,213502.29,1180824.48,0.0,213502.29
FI000012,D000012,SC00003,97234.02,485201.34,0.0,0.0,0.0,0.0,0.0,12629.06,0.0,109863.08,3642465.9,0.0,109863.08
FI000013,D000013,SC00004,24150.24,130120.64,0.0,0.0,0.0,0.0,0.0,3129.19,0.0,27279.43,651652.56,0.0,27279.43
FI000014,D000014,SC00004,54303.42,271241.82,0.0,0.0,0.0,0.0,0.0,6799.37,0.0,61102.79,1631116.35,0.0,61102.79
