action_id,disruption_id,action_type,supplier_id,component_id,factory_id,route_id,source_location,destination_location,available_capacity,action_cost,time_saved_days,risk_score,implementation_time,success_probability,feasible
A000001,D000001,Switch_Supplier,S001,C001,F001,,S001,F001,10000,4168.0,0,0.2032,18,0.7968,False
A000002,D000001,Use_Backup_Inventory,,C092,F001,R0868,W003,W002,4703,2204.93,3,0.05,1,0.95,True
A000003,D000002,Reallocate_Inventory,,C162,F001,R0832,W016,W017,10000,948.34,2,0.05,1,0.95,True
A000004,D000003,Increase_Production,,,F001,,,,564,101394.72,1,0.05,3,0.95,False
A000005,D000003,Reschedule_Production,,,F001,,,,973,13519.3,1,0.05,3,0.95,False
A000006,D000004,Expedite_Shipment,,,F001,R0120,S060,F001,10000,45.78,1,0.05,1,0.95,True
A000007,D000005,Switch_Supplier,S020,C020,F002,,S020,F002,10000,49965.6,2,0.0739,4,0.9261,True
A000008,D000005,Use_Backup_Inventory,,C263,F002,R0856,W028,W029,10000,1440.72,5,0.05,1,0.95,True
A000009,D000006,Reallocate_Inventory,,C459,F002,R0824,W012,W013,10000,3096.01,5,0.05,1,0.95,True
A000010,D000007,Increase_Production,,,F002,,,,2000,18288.11,2,0.05,3,0.95,True
A000011,D000007,Reschedule_Production,,,F002,,,,1953,2438.41,2,0.05,3,0.95,True
A000012,D000008,Expedite_Shipment,,,F002,R0071,S036,F002,10000,90.21,3,0.05,3,0.95,True
A000013,D000009,Switch_Supplier,S002,C002,F003,,S002,F003,10000,6192.95,0,0.0535,18,0.9465,False
A000014,D000009,Use_Backup_Inventory,,C051,F003,R0855,W028,W029,10000,525.21,11,0.05,2,0.95,True
A000015,D000010,Reallocate_Inventory,,C408,F003,R0849,W025,W026,10000,511.98,11,0.05,2,0.95,True
A000016,D000011,Increase_Production,,,F003,,,,2822,33463.32,5,0.05,8,0.95,True
A000017,D000011,Reschedule_Production,,,F003,,,,5361,4461.78,5,0.05,8,0.95,True
A000018,D000012,Expedite_Shipment,,,F003,R0174,S087,F003,10000,606.19,2,0.05,2,0.95,True
A000019,D000013,Switch_Supplier,S018,C018,F004,,S018,F004,10000,10751.95,0,0.0862,16,0.9138,False
A000020,D000013,Use_Backup_Inventory,,C369,F004,R0887,W015,W017,10000,295.79,3,0.05,3,0.95,True
A000021,D000014,Reallocate_Inventory,,C047,F004,R0843,W022,W023,9808,557.46,2,0.05,3,0.95,True
A000022,D000015,Increase_Production,,,F004,,,,1339,20274.12,4,0.05,8,0.95,True
A000023,D000015,Reschedule_Production,,,F004,,,,5504,2703.22,4,0.05,8,0.95,True
A000024,D000016,Expedite_Shipment,,,F004,R0040,S020,F004,10000,134.87,5,0.05,5,0.95,True
A000025,D000017,Switch_Supplier,S014,C014,F005,,S014,F005,10000,27920.6,3,0.1577,4,0.8423,True
A000026,D000017,Use_Backup_Inventory,,C270,F005,R0860,W030,W001,7408,600.83,6,0.05,1,0.95,True
A000027,D000018,Reallocate_Inventory,,C046,F005,R0844,W022,W023,3457,1895.01,1,0.05,1,0.95,False
A000028,D000019,Increase_Production,,,F005,,,,1596,15433.44,1,0.05,3,0.95,True
A000029,D000019,Reschedule_Production,,,F005,,,,7252,2057.79,1,0.05,3,0.95,True
A000030,D000020,Expedite_Shipment,,,F005,R0056,S028,F005,10000,210.55,1,0.05,1,0.95,True
A000031,D000021,Switch_Supplier,S023,C023,F006,,S023,F006,10000,36177.1,0,0.2929,10,0.7071,False
A000032,D000021,Use_Backup_Inventory,,C328,F006,R0805,W003,W004,10000,943.46,0,0.05,4,0.95,False
A000033,D000022,Reallocate_Inventory,,C142,F006,R0848,W024,W025,10000,457.06,9,0.05,1,0.95,True
A000034,D000023,Increase_Production,,,F006,,,,997,156848.21,5,0.05,8,0.95,False
A000035,D000023,Reschedule_Production,,,F006,,,,1550,20913.09,5,0.05,8,0.95,False
A000036,D000024,Expedite_Shipment,,,F006,R0143,S072,F006,10000,127.84,7,0.05,7,0.95,True
A000037,D000025,Switch_Supplier,S004,C004,F007,,S004,F007,10000,2568.55,0,0.0608,27,0.9392,False
A000038,D000025,Use_Backup_Inventory,,C310,F007,R0828,W014,W015,10000,326.2,1,0.05,1,0.95,True
A000039,D000026,Reallocate_Inventory,,C184,F007,R0955,W006,W011,10000,458.81,4,0.05,2,0.95,True
A000040,D000027,Increase_Production,,,F007,,,,3108,10406.4,1,0.05,3,0.95,True
A000041,D000027,Reschedule_Production,,,F007,,,,3061,1387.52,1,0.05,3,0.95,True
A000042,D000028,Expedite_Shipment,,,F007,R0016,S008,F007,10000,898.91,2,0.05,2,0.95,True
A000043,D000029,Switch_Supplier,S018,C018,F008,,S018,F008,10000,4472.05,0,0.0862,16,0.9138,False
A000044,D000029,Use_Backup_Inventory,,C020,F008,R0981,W020,W028,5334,179.42,0,0.05,4,0.95,False
A000045,D000030,Reallocate_Inventory,,C296,F008,R0856,W028,W029,10000,1444.98,5,0.05,1,0.95,True
A000046,D000031,Increase_Production,,,F008,,,,1764,81188.48,2,0.05,4,0.95,False
A000047,D000031,Reschedule_Production,,,F008,,,,4153,10825.13,2,0.05,4,0.95,True
A000048,D000032,Expedite_Shipment,,,F008,R0194,S097,F008,10000,184.02,6,0.05,6,0.95,True
A000049,D000033,Switch_Supplier,S012,C012,F009,,S012,F009,10000,22508.85,3,0.2628,5,0.7372,True
A000050,D000033,Use_Backup_Inventory,,C388,F009,R0858,W029,W030,10000,2990.68,7,0.05,1,0.95,True
A000051,D000034,Reallocate_Inventory,,C302,F009,R0804,W002,W003,9226,1226.82,8,0.05,1,0.95,True
A000052,D000035,Increase_Production,,,F009,,,,2040,25662.72,2,0.05,4,0.95,True
A000053,D000035,Reschedule_Production,,,F009,,,,1429,3421.7,2,0.05,4,0.95,True
A000054,D000036,Expedite_Shipment,,,F009,R0006,S003,F009,10000,188.03,7,0.05,7,0.95,True
A000055,D000037,Switch_Supplier,S002,C002,F010,,S002,F010,10000,6442.35,0,0.0535,18,0.9465,False
A000056,D000037,Use_Backup_Inventory,,C009,F010,R0826,W013,W014,10000,3462.81,1,0.05,1,0.95,True
A000057,D000038,Reallocate_Inventory,,C176,F010,R0802,W001,W002,10000,798.25,5,0.05,1,0.95,True
A000058,D000039,Increase_Production,,,F010,,,,576,25933.5,2,0.05,4,0.95,False
A000059,D000039,Reschedule_Production,,,F010,,,,545,3457.8,2,0.05,4,0.95,False
A000060,D000040,Expedite_Shipment,,,F010,R0199,S100,F010,10000,90.84,2,0.05,3,0.95,True
A000061,D000041,Switch_Supplier,S009,C009,F011,,S009,F011,10000,6210.0,0,0.1422,24,0.8578,False
A000062,D000041,Use_Backup_Inventory,,C361,F011,R0813,W007,W008,10000,402.94,7,0.05,4,0.95,True
A000063,D000042,Reallocate_Inventory,,C382,F011,R0851,W026,W027,10000,1371.53,0,0.05,4,0.95,False
A000064,D000043,Increase_Production,,,F011,,,,2070,332927.07,1,0.05,3,0.95,False
